Concept Index,Concept Name,Description,Human Label,Machine Label
1,places with picture.,people can see the picture of the study places before they are getting there,Service,people;places
2,avoiding loud places.,some people donÕt want to study in a loud place,Environment Type,people;places
3,already know,berkeley students can know the library is empty or not to which they want to go,Service,people;places
4,full people in library,when people arrived at the library people are angry if the library is full,Environment Type,people;places
5,whiteboard necessity,if people meet as a group they need a whiteboard in order to share their thoughts easily and together,Study Convenience,people;places
6,making separate room,some group wants to be separated from other people in order to really focus on their working,Study Convenience,people;places
7,existing on couch or sofa,many students woke up early for class so they need sometimes sleeping area,Environment Type,users;students
8,hot day,the weather is sometimes really hot so people want to go to a study place being really cool,Environment Type,people;places
9,time safe,if people can know what the place is empty now people can save their time for searching study room,Service,people;places
10,many sockets,most people need the sockets for their laptop cellphone and other electrical devices,Environment Type,people;places
11,tired walking,people can avoid walking if they know available for the library,Service,people;places
12,where friends,people can know their friends where they are,Service,people;places
13,how distance,the app can find the distance from our position,Service,app;gui
14,clean up,people want to study in clean places,Environment Type,people;places
15,no smell,people want to study no weird smell place,Environment Type,people;places
16,easy access,the app can be easily accessed by berkeley students,Service,app;gui
17,easy to use,the app should be easy to use for people with simple design,Service,app;gui
18,water important,the people want to get water purifier lots of time so the water purifier locations are also important,Environment Type,people;places
19,food available,people can know the food is available in the library,Service,people;places
20,how to there,people can know how to get there with transportation,Service,people;places
21,know to time,in the app people can know how long time to reach library if app is connected with google map,Service,people;places
22,login fast,if the app connected with facebook people can login easily,Service,app;gui
23,simple access,the gui of app can be simple enough to use quickly access,Service,app;gui
24,rewarding,if the app has the reward coupon of near cafƒ people can study that places,Service,people;places
25,good food,the app has a favorite food of the cafƒ restaurant so people can know the information of the best food,Service,people;places
26,independent study rooms,study cubicles that students can rent out at certain rates  similar to internet cafes but for studying,Service,study;students
27,study spot recommendations,website tha ttells students where to study based on their preferences eg quiet areas loud areas open areas,Study Convenience,study;students
28,study partner finder,allows users to find study partners studying the same subject on campus,Organization,study;students
29,sound canceller,portable panels that can be set up to reduce background noises via active noises,Environment Type,spots;floor
30,color up,repainting the libraries walls to make it feel much more lively and comfortable,Environment Type,users;students
31,hour extension,change the hours of operation of the librariesstudy spaces,Study Convenience,extension;hours
32,open classrooms,tells students of open classrooms so that they can use it as alternatives to study spaces  either for independent studying or group studying,Study Convenience,study;students
33,group study rooms,study rooms that students can rent out at certain rates,Service,study;students
34,class reserve,application that reserves classroomsconferences for studying,Study Convenience,users;students
35,study anywhere,app that lets students know of popular establishments to study at eg peets starbucks,Study Convenience,study;students
36,snack supplier,supply snacks to students studyign so that they do not starve and also do not have to worry about leaving their seats,Service,users;students
37,seat monitor,monitors amount of open seats in a librarystudy space,Study Convenience,users;students
38,sound monitor,monitors the sound of study spaces and displays this information to students so they can use it to decide where they wanna go to study,Study Convenience,study;students
39,resource renovations,supply more furniture to study spaces to increase their appeal,Service,study;students
40,whiteboard finder,displays classroomsstudy rooms with whiteboards for use,Study Convenience,users;students
41,powerstrip supplier,users can rent power strips to use when studying if they are too far from outlets or there are too many people,Service,people;places
42,earbud supplier,supplies users with earbuds and noise cancelling headphones if they are studying in loud areas,Service,users;students
43,weekender studies,recommends locations to study during the weekend when most classrooms and libraries are closed,Study Convenience,study;students
44,natural light info,lets users know which study rooms have the best natural lights,Study Convenience,study;students
45,coffee delivery,supplies the essential fluid of studying to users who cant be bothered to leave their seat,Service,users;students
46,printing delivery,students can send files they need to print and it gets delivered to them so they can study without leaving,Service,study;students
