Concept Index,Concept Name,Description,Human Label,Machine Label
1,local phone groups,people on the same road can talk with each other in local phone groups they can talk with friends get to know new people additionally all drivers can share their experiences for example “it’s only 500 meter guys”,Matching platform,people;condition
2,(local) broadcast into vehicles.,local news or other short videos are broadcast into the vehicles the length of the videos is adapted to a time prediction of the car being in small or zero velocity,Enhance excitement,driver;car
3,personal assistant in car.,personal assistant for entertainment and personal management it activates itself and asks if it might help as soon as the car is stuck in a traffic jam the user can then for example ask for a joke buy stuff on the internet or let the assistant read new facebook posts,No worries,driver;car
4,flexible smartphone mount.,this mount has a long flexible telescope bar the goal is to make every smartphone position in the car possible such that the driver can easily work with it,Multifunctional hardware,car;driver
5,awareness and information of public transit connections.,an additional display is mounted it shows possible connections of public transit to the destination that is given by the navigation system this combines all traffic information to find the fastest and most convenient route it also indicates all possibilities for the driver,Progress of transportation,traffic;gps
6,gadget to take photos while driving.,a camera is mounted to the outside of the car it can be used as a dash cam but also to take pictures while driving,Multifunctional hardware,driver;car
7,an app bringing people together.,similar to uber pool this app notifies the driver if there are people or even other drivers that want to go to the same direction it calculates the time that can be saved if the driver can then use the carpool lane,Companionship,driver;car
8,a box with creative tools.,every time the car is stuck in rush hour or particular in a traffic jam the creabox appears it contains tools to make music to draw something or to write poems,Multifunctional hardware,driver;car
9,projecting beautiful scenery.,in traffic jams a beautiful scenery can be projected onto the windows of the car then the driver does not have to face the slowly advancing lines of vehicles but can enjoy other countries,Pursuit of augmented happiness,driver;car
10,dock for laptops.,the lapdock allows the driver to connect his  her laptop with the car then emails appointments or phone calls can be processed via the car and its interfaces,Multifunctional hardware,driver;car
11,detour for sightseeing and culture,taking detours with projections on windows for images scenery sightseeing and culture eg poems,Pursuit of augmented happiness,traffic;gps
12,karaoke hand,a karaoke box recognizes if the driver is sleepy and forces him to sing karaoke if he doesnt a hand will tenderly hit him,Enhance excitement,driver;car
13,passometer,this system counts every car the driver overtakes it could be realized as a game with goals,Enhance excitement,car;driver
14,telescope,its a gadget that allows you to zoom into your surroundings or ahead of the traffic situation similar to a telescope,Multifunctional hardware,traffic;gps
15,route recommendation ,based on drivers preferences the system automatically suggests the best routes  not only on time and distance but also if the driver prefers for example more curves,No worries,driver;car
16,game simulator,depending on the drive situation standing during slow traffic or normal traffic the car starts games for the driver he can do parallel or actively through driving it could also be related to the driving itself for example it could enhance a more ecofriendly driving,Enhance excitement,driver;car
17,movie effect on the window,depending on the surroundings and the situation there are movie effects projected onto the window due to that augmented reality driving becomes even more adventurous,Pursuit of augmented happiness,driving;window
18,air refresher based on your mood,the system recognizes you and refreshes the air based on your mood and your personal preferences,Multifunctional hardware,air refresher based on your mood
19,blind spot detector,its a system that automatically predicts and finds spots in other lanes such that youre always on the fast lane,No worries,traffic;gps
20,singing teacher,a virtual singing teacher makes you practice singing during your drive it demonstrates the exercises via the loudspeakers and analyzes  evaluates the drivers try via microphones,Enhance excitement,driver;car
21,quiz it!,a local group of drivers on the same highway play a game together this puzzle game uses the surroundings of the street as part of it every driver receives some individual piece of information and the puzzle can only be solved if all drivers work together,Enhance excitement,driver;car
22,glasses cleaning agent,its a small gadget where the driver can insert his glasses for a short time if they are dirty without this gadget the driver would have to stop the car and clean them with a tissue,Multifunctional hardware,car;driver
23,hands free system,the system is hands free so driver can focus on driving,Multifunctional hardware,driving;window
24,voice command,this can be part of the hands free system that allows user to operate their phone without touching,No worries,traffic;gps
25,intelligent voice assistant,the voice assistant can do things for the user such as adjust ac temperature switch radio station,No worries,traffic;gps
26,onboard tour guide,when you drive by the point of interest the gps will sense that and the voice assistant can provide an introduction to you,Pursuit of augmented happiness,traffic;gps
27,accident alert,the system will alert you when accident happened on your route and calculate a better route,No worries,traffic;gps
28,public transit information,the system will alert you when the bus will arrive and where is the nearest station,Progress of transportation,traffic;gps
29,refrigerator onboard,refrigerator in the car can provide ice cold drinks all the time so the user can enjoy a cool ride,Enhance excitement,car;driver
30,chatting service,the system can connect you to your friend to have a voice chat it could be a group chat so everyone can get involved,Companionship,traffic;gps
31,karaoke in the car,"karaoke in the car can provide ultimate entertainment experience for the user
",Enhance excitement,car;driver
32,traffic alarm,traffic alarm will be able to notify driver and give the detour,No worries,driver;car
33,voice control music box,the music box that control by you voice,Enhance excitement,music
34,message reader,the phone receive a message and the system can speak the info out,No worries,traffic;gps
35,bus app,app can be able to find when bus come and how long does it take for next one,Progress of transportation,people;condition
36,auto car,fully automatic driving car,Automation and future technology,car;driver
37,traffic chat,chat system active during car driving with other drivers,Companionship,driver;car
38,add more lane,adding more lane to road to reduce traffic,Enhance excitement,traffic;gps
39,bus only lane,create the bus only lane for the bus,Matching platform,traffic;gps
40,flying car,the car can fly to the sky,Automation and future technology,car;driver
41,stand up on car,able to stand up on the seat and car stay under control,Physical activity,car;driver
42,route recommendation based on driver's preference,driver who has special preference can choose routes with different difficulty level,Pursuit of augmented happiness,driver;car
43,smell of food ,a device creating the smell of the food for the driver there is food almost ready,Pursuit of augmented happiness,driver;car
44,tour guide  narrator for road trip ,when you drive by the point of interest the gps will sense that and the voice assistant can provide an introduction to you,No worries,traffic;gps
45,massage therapy ,letting long time drivers feel relaxed ,Pursuit of augmented happiness,driver;car
46,conditioner for environment,assistance for driver based on environmental condition ,No worries,car;driver
47,let someone drive for you ,personal driver can set you free for something more important and you wont feel lonely,Companionship,driver;car
48,dummy gear change ,a fun thing to do when you are driving a automatic transmission car ,Enhance excitement,car;driver
49,all in one controller ,the driver can control everything with one controller which makes you feel powerful,Multifunctional hardware,driver;car
50,trip planner,the trip planner can give some adjusted advices during the longtime driving,Pursuit of augmented happiness,driving;window
51,virtual customization ,creating different atmosphere in the car ,Automation and future technology,car;driver
52,simulate a car crash ,when the driver feel sleepy the car will create a motion similar to car crash to wake the driver up,Automation and future technology,car;driver
53,bubble generator ,creating bubble screen on the window for the driver and the passengers,Enhance excitement,driver;car
54,car library ,you read book while driving  it saves time,Multifunctional hardware,car;driver
55,business card exchanger ,finding potential business partners during traffic jams ,Companionship,traffic;gps
56,car that can drive by hand ,allowing the driver to rest their feet during a long time drive,No worries,car;driver
57,super cooling system ,chill in your car anytime ,Pursuit of augmented happiness,car;driver
58,jamedin,making connection while waiting in the car and boost your future career,Companionship,car;driver
59,fitting room,try on different clothes without staring by others,Physical activity,dishes;clothes
60,virtual chess,play chess with a virtual opponent ,Pursuit of augmented happiness,virtual chess
61,playing video game ,play video game during the traffic ,Pursuit of augmented happiness,traffic;gps
62,emergency toilet ,lifesaving equipment for most drivers in the traffic jam ,No worries,traffic;gps
63,dryer in the car ,hikers can use the dryer to dryer to dry their clothes ,Multifunctional hardware,car;driver
64,music app,a good music app which a special function which is can recommend newest songs by user’s preferences,Pursuit of augmented happiness,music
65,local news radio channels,people can get some local and newest news with relevant channels that will be helpful for social needs,Pursuit of augmented happiness,people;condition
66,real time traffic information,realtime traffic information can help driver avoid the worst traffic jam which may be caused by a car accident,Progress of transportation,driver;car
67,voice control,use voice to control some entertained system such as set up gps during the driving or changing radio channels and music,No worries,traffic;gps
68,talk on the phone,drivers can talk on the phone with their who is a daily commuter also they both has needs of companion during the drive along drivers can also talk with siri ai system to find some new restaurants,Companionship,people;condition
69,take uber,drivers who really need companion they can choose to take uber for commuting since they can talk with uber driver and share some news,Companionship,driver;car
70,group chat,people can use app to join some local group chat they share the local traffic condition of different section or join a group chat with specific topic,Companionship,people;condition
71,bart development.,add more bart stops or bart station parking spaces will give more people have a choice to use public transportation to avoid the bad traffic condition,Progress of transportation,traffic;gps
72,short distance transportation,the electrical bike is useful for short distance transit such as the distance between the bart station and the office or home,Progress of transportation,traffic;gps
73,multifunctional accessories,some stuffs such as an onboard dining table portable hanger and the large trunk that all can improve the functionalities of the car not only for driving,Multifunctional hardware,car;driver
74,psychological test,diver can use traffic time to solve some psychological concerns,No worries,traffic;gps
75,physical examniation,diver can get to know their physical condition every morningespecially for some patients with chronic diseases such as high blood pressure,No worries,people;condition
76,office work,diver can finish some work in the car if the traffic conditons make them cannot be the office in time,Multifunctional hardware,driver;car
77,3d pringting,the onboard 3d printer can print sunglasses with different weather conditon or divers needs,Automation and future technology,driver;car
78,paper shredder in the car ,the driver can do office work in the car ,Multifunctional hardware,car;driver
