Concept Index,Concept Name,Description,Human Label,Machine Label
1,drawer chest with labels,each drawer with a label in the front the labels tell you what items are inside the drawers,Irregular Drawer Chest,drawer;user
2,robotic drawers,the drawer will open automatically if the users type in what they want to retrieve,Moving Drawer Chest,drawer;user
3,robotic bookcase,the robot will retrieve the item on the bookshelf and deliver to the user,Moving Drawer Chest,drawer;user
4,sharable drawer chest,each drawer is owned by different users the owner can open the drawer they own by entering the password,Moving Drawer Chest,drawer;user
5,digital item log,it keeps track of every item in the record when the users want to know where the item is they just need to enter the name,Smart Item Tracker,shelves;bookshelf
6,digital item stickers,the stickers will send a signal to the sensor each sticker is on a different object when finding the object the sensor will locate where it is,Smart Item Tracker,shelves;bookshelf
7,robotic boxes,each box has different sizes and is installed with wheels on the bottom the users can summon the box on their phones and the boxes will come to the users,Irregular Drawer Chest,shelves;bookshelf
8,robotic boxes v2,similar to the one described above this one is composed of several drawers,Irregular Drawer Chest,drawer;user
9,table with multiple drawers,this is a combination of a table and a drawer chest the users can choose to detach the drawers from the table,Irregular Drawer Chest,drawer;user
10,drawer chair,this product combines a drawer chest with a chair in order to save space in a tiny room,Moving Drawer Chest,shelves;bookshelf
11,smart trash can,a trash can that knows how to seal the trash bag when it is full it also can be used as a trash can,Disposal (Trash Can/Bin),shelves;bookshelf
12,auto bookshelf organizer,this is a system that can rearrange the books on the shelves according to the order the users decide,Moving Drawer Chest,shelves;bookshelf
13,a quarter circle bookcase,a quartercircle bookshelf that fits at a corner this design makes use of all the space so that it uses the room efficiently,Irregular Drawer Chest,shelves;bookshelf
14,user reminder system,it can display the quantity of the items when the users addremove an item the quantity of the item will change accordingly,Smart Item Tracker,drawer;user
15,handle and roller wheels,it is a drawer chest with wheels installed at the bottom so that the drawer chest can move in all directions the wheels can also be locked when necessary,Moving Drawer Chest,shelves;bookshelf
16,multiple drawers,it is a drawer chest that contains drawers with different sizes small medium and large therefore the users can put in different items in the drawers with different sizes,Irregular Drawer Chest,drawer;user
17,triangular drawer chest,it is a drawer chest with a triangular shape each drawer has a different volume so the user can put items with different size in those drawers it could fully utilize space this way,Irregular Bookcase/bookshelf,drawer;user
18,equation bookshelf,it uses the simple idea of organizing objects in a certain order it can put the books that the user uses most often between the sliders,Irregular Bookcase/bookshelf,shelves;bookshelf
19,folding bookshelves,it lets the user arrange the books in an interesting way the shelves can be laid down stood up turned 90 degrees and used horizontally or vertically,Irregular Bookcase/bookshelf,user;books
20,quad bookcase,this multiplesized shelf design can store css dvds and books all in one clever product for even more storage space units can be joined together,Irregular Bookcase/bookshelf,user;books
21,shelf in another shelf,although this design cant store too much stuff on this shelf it is a great way to decorate a wall put inside only the books and objects according to the users preference,Irregular Bookcase/bookshelf,shelves;bookshelf
22,shelves with a bench,this is composed of two bookcases and one bench one case is on the left of the bench and the other one is on the other side the user can lay down and relax on bench,Irregular Bookcase/bookshelf,shelves;bookshelf
23,interesting bookcase,a whole wall is used for the interesting bookcase so it requires quite a bit of space it can store a lot of books,Irregular Bookcase/bookshelf,shelves;bookshelf
24,steel shelf,it is an excellent solution for the user to store their books a modern way the physical shape of the bookshelf is mirrored in powdercoated steel if possible so it would look fancy,Irregular Bookcase/bookshelf,shelves;bookshelf
25,rolling shelf,it is made from individual pieces of wood held together by fabric on one side this flexible hinge allows you to create some unique shelving options that are aesthetically interesting,Irregular Bookcase/bookshelf,shelves;bookshelf
26,bookworm,the shelf is planned to be made of plastic so that it can be shaped into any form desired the shelf can be mounted in a curved design to increase capacity it is useful for small places where a traditional bookcase is too large,Irregular Bookcase/bookshelf,shelves;bookshelf
27,the cave bookcase,it is a shelving unit with an integrated nook for reading this is ideal for small places because the nook saves the space used by a chair it provides a private reading space within its form with the seat height just above the floor,Irregular Bookcase/bookshelf,shelves;bookshelf
28,sticky bookshelf,books can be stored on both sides of this shelf which does double duty as a room partition it gives a feeling of hiding from others,Irregular Bookcase/bookshelf,shelves;bookshelf
29,prove shelves,the shelves can be used to display users books cds or other items in an interesting way the storage space is limited but its enough to store the most important things,Irregular Bookcase/bookshelf,user;books
30,d mension,it is a system of modular racks shaped like lowercase ds they can be arranged in a staggered abstract or symmetrical formation based on the users personal taste,Irregular Bookcase/bookshelf,shelves;bookshelf
31,brace case,it is a shelving unit that uses taut cables to house books magazines and other flat objects at various angles the modular system enables the user to decide how to install the cables,Irregular Bookcase/bookshelf,shelves;bookshelf
32,ellipse bookcase,technically this is not for college students who have a lot of books it is for someone who cares more about how things look like than the books on the shelves,Irregular Bookcase/bookshelf,shelves;bookshelf
33,skateboard shelf,it is a piece of furniture that every skateboard lover would think is awesome this design is perfect for college students because it provides substantial storage space for books accessories and even skateboard paraphernalia,Irregular Bookcase/bookshelf,shelves;bookshelf
34,ceiling bookshelf,it is a great idea for book storage if space is limited the shelf is installed at the ceiling so the user would have to use a chair or ladder in order to get a book,Irregular Bookcase/bookshelf,shelves;bookshelf
35,lovely shelf,it can be a single shelf or repeated by combining additional units becoming a bookcase of any desired length due to its special shape it allows two different figures to be designed on the wall according to which way it is hung,Irregular Bookcase/bookshelf,shelves;bookshelf
36,glass shelves,the shelves are made of glass and characterized by clean lines and transparent design the have different  sizes allowing the user to make all kind of combinations for storing books dvds decor and large items,Irregular Bookcase/bookshelf,shelves;bookshelf
37,vintage shelf,it is a classic bookshelf design within a contemporary form which allows traditional furniture to fit seamlessly into the modern homes of today,Irregular Bookcase/bookshelf,shelves;bookshelf
38,dedalo bookcase,it can be used as a room divider or place against the wall the unique bookcase allows the user to store a lot of things in various ways,Irregular Bookcase/bookshelf,user;books
39,multi functional shelf,it can be used as a shelving system or a seating and a desk and it doesnt take up much space,Irregular Bookcase/bookshelf,user;books
