Concept Index,Concept Name,Description,Human Label,Machine Label
1,app that shares lists with roommates,to avoid over buying things at places like costco this app would share your lists with your roommates and if you had the same item on it both of you could split it rather than buying 2,How to avoid wasting food,app that shares lists with roommates
2,website app that teaches you how to shop,many college students have never shopped for themselves before so this website app would allow you to enter in meals foods you like and then give you ideas of what to get at the store,How to avoid wasting food,ingredients;recipes
3,neighborhood food sharing app,an app that allowed for people in your neighborhood to ask for a certain food post that they have extra food they wont be using and is up for grabs,Others,food;app
4,take leftovers from dining hall,have a way to let students take their leftovers from the dining halls maybe charge by weight of what theyre taking,What to do with food that is going to be wasted,gardens;people
5,deliver ugly fruit veggies,theres a company called imperfectproduce that delivers fruit veggie boxes but they are expensive and you dont get to choose whats in the boxso a better version of this,What to do with food that is going to be wasted,ingredients;recipes
6,seperate area for ripe produce,grocery stores often try to showcase their new produce that is not ripe yet and hide the riper older food at the bottom but this usually leads to the ripe produce going bad,What to do with food that is going to be wasted,food;waste
7,smaller package options for produce herbs,many people look up a recipe and then buy all the ingredients to make it and then dont know what to do with the leftovers of certain ingredients,How to avoid wasting food,ingredients;recipes
8,self serve herbs,another option other than smaller packages for herbs would be to make herbs selfserve and then weigh at the check out so you only get as much as you need,How to avoid wasting food,ingredients;recipes
9,app that provides recipe ideas,an app that would allow you to input ingredients you had at home into itand then it would provide you a list of recipes you could make with those ingredients,How to avoid wasting food,ingredients;recipes
10,qr code with more recipes,item s that are not used extremely often in recipes would have a qr code on the back of them that when scanned would provide a list of simple recipes to make with the leftovers,How to avoid wasting food,ingredients;recipes
11,rebates for roof top gardens,give people money back for growing their own gardens at home,Making yourself part of the food growing process,gardens;people
12,produce pick up from grocery stores,have a system set up where a truck goes to all of the grocery stores in the area and picks up their old produce to give to those in need,How to avoid wasting food Nicole,produce;stores
13,good smelling compost,create some sort of way to make compost not smell so bad many people are hesitant to have a compost bin in their house because of the way it smells,What to do with food that is going to be wasted,compost;waste
14,sorting trash can,have a system that automatically sorts your trash so that if you put food waste into it it will automatically send it to the compost instead,What to do with food that is going to be wasted,compost;waste
15,drone drop produce where needed,collect produce that is about to go bad and drone drop it to communities that need it,What to do with food that is going to be wasted,produce;stores
16,nice looking windowsill gardens,many people dont want to have windowsill gardens in their house because they dont always look nice so creating a really nice looking windowsill garden,Making yourself part of the food growing process,gardens;people
17,app for sharing garden food,an app where you can sell give any extra fruit or vegetables that you have in your garden to your neighborhood,What to do with food that is going to be wasted,food;app
18,menu with only main course and then add sides,lots of time when people order a main course they end up not eating all of the sides so changing it so that no sides come automatically and you have to choose your own,How to avoid wasting food,ingredients;recipes
19,app that tells you what foods make other food go bad,create an app that tells you what foods makes other foods go bad when they are placed next to each other,How to avoid wasting food,food;app
20,peels to energy,make a machine that could be used in households to use the citrus from fruit peels to make energy,What to do with food that is going to be wasted,food;products
21,fridge with lazy susan,have the main part of a fridge be a lazy susan so nothing gets left in the back to go bad,How to avoid wasting food,part;contents
22,at home compost to utensils,create a machine that would be small enough that people would have it at their house that can turn compost into utensils cups etc,What to do with food that is going to be wasted,compost;waste
23,compost to 3d printing material,have a way to convert compost into a material that works in 3d printers so that you could reuse the food to print things,What to do with food that is going to be wasted,compost;waste
24,charge more if you don't finish,have a system at restaurants where if you dont finish your food you have to pay extra,How to avoid wasting food,food;waste
25,chef connect,connect novice chefs to professionals via a phone application chefs can help users make meal plans to fit their lifestyle with detailed ingredient quantities prep instructions etc,How might we get the experiential knowledge of professional chefs into the hands of novice chefs?,ingredients;fruits
26,leftovers rocket,instantiate a locationbased pick up servous that is continuously available for pickups of food that would otherwise go to waste they will take the food to an appropriate ,What to do with food that is going to be wasted,food;waste
27,self vacuum sealing packaging,leafy green packaging allows a lot of air between leafs which allows product to go bad more quickly by vacuum sealing the box before it gets to the market will increase shelf life ,Avoid food waste,packaging;stores
28,eco friendly compost integrated kitchen,a compost system built into the kitchen that feeds into a verticle ,Avoid food waste,compost;waste
