Concept Index,Concept Name,Description,Human Label,Machine Label
1,simple clip,an accessory for your water bottle that makes your bottle easy to attach to your bike or backpack similar to a phone clip in your car,Attachments,bottle;water
2,knuckle holder,an attachment that goes on the bottle vertically to fit to your hand and allow a more secure grip on the bottle,Attachments,bottle;bag
3,belt it!,a belt or strap that holds your water bottle in place,Attachments,bottle;water
4,compress that bottle!,a water bottle that compresses into a smaller object once there is no more water inside this makes it easier for people to carry their water to and from,Collapsible,bottle;water
5,build a bottle,build your bottle to fit your need if you have less space take cylinder off,Collapsible,bottle;bag
6,doodle bottle,personalize your water bottle by drawing on your bottle you can doodle during class or even write your name and make it your own,Personalize,bottle;water
7,crazy tops and caps,show off your personality with a crazy topcap your cap can be in a shape of a disney character or marvel hero basically anything you like,Personalize,crazy tops and caps
8,exchangeable tops!,a reusable water bottle with multiple tops switch your normal screw cap to a sports cap when working out or to a fliptop or even a top attached to a carabiner when hiking,Personalize,bottle;water
9,photo bottle,a bottle made out of clear plastic with two layers you can slip photos in between the two layers as another way of personalizing your bottle and letting people know its yours,Personalize,bottle;bag
10,2 flavors,a bottle with two sections so that the user can have multiple flavors with a twisty top,Personalize,bottle;bag
11,shapes and size,funny shapes to appeal to younger kids as well as showing your own personality,Personalize,shapes and size
12,store your phone,your phone can be stored inside your wter bottle as you run do errands etc,Personalize,bottle;bag
13,personalized sleeve,various water bottle sleeves that come in different colors and prints to show off the owner’s personality,Personalize,bottle;water
14,bottle sack,similar to the satchel idea but with two straps to but on such as a backpack,Personalize,bottle;bag
15,flexi bottle,a bottle that is flexible and can conform and fit into many spaces without breaking and spilling water everywhere,The Perfect Fit,bottle;water
16,lightweight h20,a reusable water bottle that is durable and made out of high quality material without it being heavy,The Perfect Fit,bottle;water
17,temperature control,a water bottle that keeps your water at a desired temperature hot room temp or cool and crisp,The Perfect Fit,bottle;water
18,hour glass bottle,middle portion of the bottle is thinner which allows an easier grip as a user is walking,The Perfect Fit,bottle;bag
19,pencil case bottle,shape of bottle is similar to a pencil cases to fit inside small pockets,The Perfect Fit,bottle;bag
20,silicone bottle,siimilar to flexible wine glass but in the shape of a bottle,The Perfect Fit,bottle;bag
21,handy bottle,the middle part of the bottle has a cut out perfect for you hand to grab which makes your bottle easier to hold on a walk,The Perfect Fit,bottle;bag
22,leash it,adjustable collar around the top under the lip that attatches to a leash on your bag with a buckle,Attachments,bottle;bag
23,roll up,wrap around storage for the front of a backpack  fun to roll out of attatchments if you need a drink then would roll back up onto the sleeve,Attachments,koozie;sleeve
24,removable handle, adds ease to carrying a water bottle by adding a handle to hold a resizable handle that can be put on the top of any reusable bottle,Attatchment,bottle;water
25,carry strap design,accessory that improves attachment options for water bottle to improve portability with a caribeaner bottles of any size adjustable strap can be hoooked on from the top bottom or middle this allows for water bottles carried on the outside of backpacks to be constrained more so that theydont swing around additionally allows for better possibiliaites in attaching to all different bags drawstring hiking bag over the shoulder etcit would be made out of a rubbersiliconr mix that would provide grip to water bottle and to user and be a pretty addition to the water bottle’s appearance with different color options,Attatchment,bottle;bag
26,snap on!,2 band sleevers  each with a part of a snap button  both that are adjutable size one that goes around your water bottle one that goes around your bag sleeve,Attatchments,bottle;water
27,concentric bottle,water bottle split into 2 conentric cylinders  each compartment would allow for a different subtance to fill it up and could also each get a sipping container  can remove interior cylinder and use as smaller bottle as well,Collabsible,bottle;water
