Index,Human_Label,Machine_Label
0,Better Treatment,Better Treatment
1,Remembering,Remembering
2,Better treatment,Better treatment
3,Receiving,Receiving
4,Practicing,Practicing 
5,Learn better,Learn better
6,Better educational content,Better educational content 
7,Practice/Remembering/Better Treatment,Practice/Remembering/Better Treatment
8,Receiving---Case Study,Receiving---Case Study
9,Practicing---Hands-on,Practicing---Hands-on
10,Practicing---Perceiving,Practicing---Perceiving
11,Better Treatment and Receiving,Better Treatment and Receiving
12,Remembering and Receiving,Remembering and Receiving
13,Better educational instruction,Better educational instruction
14,Remote medical services,Remote medical services 
15,Better educational tools,Better educational tools
