Human_Index,Human_Label,Machine_Index,Machine_Label
0,safety,0,car;cars
1,comfort and convenience,1,car;seats
2,user interface,2,car;location
3,avoid traffic congestion,3,cars;traffic
4,remote control,4,av;users
5,efficiency,5,vehicle;energy
6,localization and positioning,6,user friendly 
7,affordability,7,functions;interaction
,,8,user;malfunction
,,9,vehicle;vehicles
,,10,windshield;dashboard
,,11,user;extensions
,,12,car;prompt
,,13,car;user
,,14,avoiding traffic jam
,,15,passengers;views
