Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
12,Remembering and Receiving,12,Remembering and Receiving,1,[44]
13,Better educational instruction,13,Better educational instruction,1,[48]
11,Better Treatment and Receiving,11,Better Treatment and Receiving,1,[43]
0,Better Treatment,0,Better Treatment,9,[2; 3; 4; 7; 8; 10; 12; 15; 42]
6,Better educational content,6,Better educational content ,2,[46; 47]
3,Receiving,3,Receiving,6,[1; 9; 37; 38; 40; 45]
10,Practicing---Perceiving,10,Practicing---Perceiving,1,[39]
4,Practicing,4,Practicing ,4,[5; 6; 26; 27]
4,Practicing,17,Practicing,1,[36]
7,Practice/Remembering/Better Treatment,7,Practice/Remembering/Better Treatment,1,[14]
9,Practicing---Hands-on,9,Practicing---Hands-on,1,[34]
14,Remote medical services,14,Remote medical services ,1,[49]
8,Receiving---Case Study,8,Receiving---Case Study,1,[33]
2,Better treatment,2,Better treatment,7,[19; 20; 21; 22; 23; 31; 32]
3,Receiving,16,Receiving ,2,[24; 25]
15,Better educational tools,15,Better educational tools,1,[50]
1,Remembering,1,Remembering,7,[11; 13; 16; 17; 18; 35; 41]
5,Learn better,5,Learn better,3,[28; 29; 30]
