Human_Index,Human_Label,Machine_Index,Machine_Label
0,easy to use,0,exoskeleton;accessory
1,comfort,1,leg;button
2,connectivity,2,device;mode
3,safety,3,exoskeleton;user
4,adjustability,4,legs;leg
5,aesthetic,5,battery;bulky
6,motivation,6,music;dance
7,mobility,7,foot;knee
8,affordability,8,users;tracks
9,,9,use;waist
10,control,10,user;muscles
11,durability,11,leg;foot
,,12,inflatable 
,,13,emergency calling 
,,14,compensation;users
,,15,rear actuators
,,16,mode;user
,,17,back actuators
,,18,achievements
,,19,alarm clock
,,20,reminders
,,21,braces;bones
,,22,inflatable frame
,,23,id verification
