Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
5,configuration,9,retractable blade and stock,1,[15]
1,aesthetics,3,wt;water,1,[56]
4,wind concentrators,8,designated migration area,1,[8]
3,community,0,turbine;wind,1,[16]
8,merging renewables,0,turbine;wind,3,[9; 10; 11]
7,bird safety,7,wt;wind,1,[17]
0,hiding the wt,7,wt;wind,1,[26]
1,aesthetics,6,tree vent,1,[25]
0,hiding the wt,10,tower;level,2,[57; 58]
3,community,7,wt;wind,2,[22; 23]
1,aesthetics,11,landscape;buildings,1,[24]
7,bird safety,2,blade;pitch,1,[1]
4,wind concentrators,0,turbine;wind,2,[54; 55]
1,aesthetics,13,variable height,1,[39]
3,community,3,wt;water,2,[2; 3]
0,hiding the wt,15,barn housing,1,[46]
5,configuration,12,hot hub,1,[29]
4,wind concentrators,4,wind;turbines,2,[42; 43]
1,aesthetics,5,lift;rotor,1,[12]
2,wt efficiency,2,blade;pitch,2,[19; 20]
1,aesthetics,1,blades;turbine,3,[30; 31; 32]
5,configuration,4,wind;turbines,1,[4]
0,hiding the wt,0,turbine;wind,4,[34; 35; 36; 37]
6,hiding the wt - camoflage,6,tree vent,2,[47; 48]
7,bird safety,1,blades;turbine,1,[38]
6,hiding the wt - camoflage,11,landscape;buildings,1,[53]
3,community,10,tower;level,1,[18]
5,configuration,17,vawt farm formation,1,[59]
0,hiding the wt,4,wind;turbines,1,[13]
4,wind concentrators,14,efficiency;medium,2,[40; 41]
1,aesthetics,4,wind;turbines,2,[27; 28]
4,wind concentrators,16,parts;area,2,[51; 52]
2,wt efficiency,1,blades;turbine,2,[49; 50]
8,merging renewables,7,wt;wind,1,[60]
1,aesthetics,0,turbine;wind,2,[44; 45]
5,configuration,5,lift;rotor,2,[5; 6]
6,hiding the wt - camoflage,1,blades;turbine,1,[14]
5,configuration,7,wt;wind,1,[33]
2,wt efficiency,0,turbine;wind,1,[7]
2,wt efficiency,4,wind;turbines,1,[21]
