Human_Index,Human_Label,Machine_Index,Machine_Label
0,enhance comfort,0,gloves;massage
1,internet with controls,1,gloves;button
2,casin things,2,clip gloves
3,material,3,gloves;mars
4,energy basic,4,kinegtetic entry
5,there's an app for that,5,gloves;glove
6,sensor,6,thermal sensing glove
7,intersurfaces,7,drilling gloves
8,hot stuff,8,thermal control
9,lock n load,9,gloves;bearings
10,would you look at that,10,flexible boxing gloves
11,touch,11,sticky grip
12,better than the iphone,12,gloves;fingers
13,clean things,13,hook gloves
14,can you feel it?,14,force sensors gloves
15,got it?,15,anti skid gloves
16,intersurfaces with/into,16,arm screen
17,iron man glove,17,rogue hands
18,safety,18,water gloves
19,grip,19,gloves;grip
,,20,soud paper gloves
,,21,flashlight
,,22,sepcial watch in gloves
,,23,plant slot glove
,,24,gecko hands
,,25,waste heat energy
,,26,storage for quick food
,,27,heater;glove
,,28,glove;wrist
,,29,mechatronic glove
,,30,screen gloves
,,31,air brush
,,32,gloves;application
,,33,good breathability of gloves
,,34,wiring
,,35,net mach 2
,,36,pulse detection
,,37,charger
,,38,fish bowl hands
