Human_Index,Human_Label,Machine_Index,Machine_Label
0,enhance comfort,0,gloves;massage
1,grip,1,gloves;glove
2,material,2,gloves;mars
3,catching things,3,clip gloves
4,clean things,4,gloves;wrist
5,there's an app for that,5,mars;astronaut
6,sensors,6,fingers;gloves
7,hot stuff,7,thermal control
8,interaction,8,gloves;control
9,would you look at that,9,glove;wrist
10,touch,10,mechatronic glove
11,mechatronics,11,rogue hands
12,interface,12,plant slot glove
13,lock n load,13,gloves;bearings
14,energy,14,waste heat energy
15,safety,15,palm;fingers
,,16,charger
,,17,heater;glove
,,18,pulse detection
,,19,storage for quick food
,,20,flashlight
,,21,gloves;tasks
,,22,gloves;beads
,,23,gloves;hands
,,24,wiring
,,25,force sensors gloves
,,26,fishbowl hands
,,27,arm screen
,,28,gecko hands
,,29,net mach 2
,,30,air brush
