Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
6,Practice/Remembering/Better Treatment,6,information;knowledge,1,[14]
3,Practicing,0,students;professors,1,[27]
10,Learn better,6,information;knowledge,1,[29]
7,Receiving---Case Study,7,picture;table,1,[33]
2,Better treatment,1,doctors;operation,1,[31]
9,Remote medical services,9,remote diagnosing ,1,[49]
4,Remembering,12,take medicine on time,1,[17]
15,Better educational tools,8,video;device,1,[50]
3,Practicing,14,screen;camera,1,[36]
4,Remembering,0,students;professors,2,[13; 35]
3,Practicing,3,glasses;eyes,1,[5]
4,Remembering,4,students;teachers,1,[11]
8,Better educational content,8,video;device,1,[47]
4,Remembering,13,information;database,1,[18]
1,Better Treatment,5,patients;doctors,3,[7; 8; 12]
13,Remembering and Receiving,7,picture;table,1,[44]
2,Better treatment,17,body,1,[32]
2,Better treatment,2,doctors;treatment,2,[21; 23]
3,Practicing,16,teachers;time,1,[26]
1,Better Treatment,1,doctors;operation,3,[2; 4; 10]
12,Practicing---Perceiving,3,glasses;eyes,1,[39]
0,Receiving,0,students;professors,3,[1; 9; 45]
1,Better Treatment,17,body,1,[42]
1,Better Treatment,10,doctors;models,2,[3; 15]
0,Receiving,5,patients;doctors,1,[24]
10,Learn better,1,doctors;operation,1,[30]
2,Better treatment,14,screen;camera,1,[19]
4,Remembering,11,memory master,1,[16]
5,Better Treatment and Receiving,5,patients;doctors,1,[43]
0,Receiving,1,doctors;operation,1,[25]
14,Better educational instruction,8,video;device,1,[48]
0,Receiving,13,information;database,1,[40]
11,Practicing---Hands-on,3,glasses;eyes,1,[34]
0,Receiving,2,doctors;treatment,1,[37]
0,Receiving,16,teachers;time,1,[38]
4,Remembering,3,glasses;eyes,1,[41]
2,Better treatment,15,alert & notification,1,[20]
8,Better educational content,4,students;teachers,1,[46]
3,Practicing,4,students;teachers,1,[6]
2,Better treatment,4,students;teachers,1,[22]
10,Learn better,2,doctors;treatment,1,[28]
