Human_Label_Index,Human_Label,Machine_Label_Index,Machine_Label,Bubble_size,Concept_Indices
3,rigid brace variations,0,brace;force,5,[8; 9; 10; 11; 12]
6,correct position guarantee,2,muscle;loads,2,[6; 7]
5,treatment communication/ community building,1,forces;force,1,[5]
7,modular brace w/ multiple components,2,muscle;loads,4,[19; 20; 21; 22]
1,external treatment device,2,muscle;loads,3,[13; 14; 15]
3,rigid brace variations,3,breathable cast,1,[16]
5,treatment communication/ community building,0,brace;force,1,[18]
2,implantable/ surgical intervention,2,muscle;loads,4,[49; 50; 59; 60]
4,,1,forces;force,1,[61]
1,external treatment device,1,forces;force,8,[29; 30; 31; 32; 33; 34; 35; 36]
3,rigid brace variations,2,muscle;loads,1,[52]
0,actuated dynamic brace,0,brace;force,12,[37; 38; 39; 40; 41; 42; 43; 44; 45; 46; 47; 48]
0,actuated dynamic brace,4,exo skeleton back ,1,[51]
6,correct position guarantee,0,brace;force,2,[57; 58]
4,,2,muscle;loads,3,[2; 3; 4]
1,external treatment device,0,brace;force,2,[53; 54]
0,actuated dynamic brace,1,forces;force,2,[55; 56]
7,modular brace w/ multiple components,0,brace;force,4,[63; 64; 65; 66]
3,rigid brace variations,4,exo skeleton back ,1,[17]
3,rigid brace variations,1,forces;force,7,[23; 24; 25; 26; 27; 28; 62]
2,implantable/ surgical intervention,0,brace;force,1,[1]
5,treatment communication/ community building,2,muscle;loads,4,[67; 68; 69; 70]
0,actuated dynamic brace,2,muscle;loads,10,[71; 72; 73; 74; 75; 76; 77; 78; 79; 80]
