Human_Index,Human_Label,Machine_Index,Machine_Label
0,ai and machine learning,0,design;software
1,automation,1,software;users
2,compatibility,2,software;package
3,easy to use,3,file;software
4,improving efficiency and power,4,software;optimization
5,external help,5,users;software
6,import functions,6,software;scanner
7,online help services,7,online;forum
8,user interaction,8,packaging;definition
9,costing,9,packages;computing
10,in-built help feature,10,software;help
11,ease of data representation,11,automatically generates presentable data
12,file/device integration,12,multiple file support 
13,user interface,13,interface;users
14,installation,14,small installation file size
15,ar/vr/gr & haptics,15,simulation;visualization
16,targeted markets,16,user;allows
17,export functions,17,users;user
18,learning the software games,18,3d scan morphing
19,design recognition (image recognition),19,software adapting symbols
20,ai,20,different costing
,,21,dseign template
,,22,function;curve
,,23,use before you make
,,24,files;share
,,25,graphic design aid
,,26,error feedback
,,27,3d printing
,,28,gesture recognition
,,29,ai;design
,,30,mobile app 
,,31,small files
,,32,natural environment
,,33,design;cad
,,34,virtual reality
,,35,same ui for different function
,,36,users;customers
,,37,simple installation
,,38,haptic designing
,,39,self servie management
,,40,augmented reality ui
