Concept Index,Concept Name,Description,Human Label,Machine Label
1,bike sharing without app,lockunlock the shared bike faster by using an chipfingerprint instead of an phone,Service,bike;app
2,bike sharing without stations,no stations where needed anymore leave your bike wherever you want there is a lock included in the bike with a smal steel rope,Service,lock;bike
3,fast cheap lock,simple ulock connected with a shipfingerprint without phone or app no worries about battery,Service,lock;bike
4,bike sharing with different bikes,same concept like fordgobikes but they offer different types of bikes like mountain bikes racer,Service,bikes;bike
5,electric bike sharing,same concept like fordgobikes but with electric bikes ,Service,bikes;bike
6,bike racks who includes locks,bike racks are including bike locks you can lock and unlock with your clipper card your clipper card is having their own codenumber so that the lock can verify,Infrastructure,lock;bike
7,electric bike parking garage,bikes include an chip you have to connect with your phone after you returned and wants to pick up your bike this system will exclude that wrong bikes are given to wrong persons,Infrastructure,bike;bikes
8,small bike parking garages ,a lot of small bike parking garages are spreaded ofer the city that will enhance that there is not just one parking garage ,Infrastructure,parking;bike
9,app connected with the police,an app which is connected with your bike if it gets stolen the police will get an alarm and they can track the bike or thief,Surveillance,thief;bike
10,alarm lock,not only the lock will send a message to the ownerthe  buzzer will ring to catch peoples attention,Surveillance,lock;people
11,lighter and smaller sharing bike,theres no  need to use to much steel in the bikesome parts of the bike can be constructed by plastic as substitutionnot only will this design provide people a better experience of bikingbut also reduce the possibility of being stolen ,Service,bike;bikes
12,gps police,even if your bike is stolen  under the circumstance of  gps is shieledwhen they use the bikethe chip inside your bike will contact the nearest police office because it is impossible to shield the gps by a certain device,Surveillance/Service,lock;bike
13,store  network combine with lock station.,we can build some small lock station just in front of the doorso people buy things there or the store owner will pay some attention to thatthieves will prefer to steal other bikes ,Service,lock;people
14,underground enclosed parking lot  in community.,people will prefer to park their bikes at place which they can get access to easilyalso it need to be safe in the parking lot,Infrastructure,bike;bikes
15,lock with destroy function.,some people dont want to waste so much time or money to find their bikes backbut they also dont want the thieves to get profit from their bikeso lock can destroy the supporting part of the bike ,Service,lock;people
16,brake control with lock,we can control the crake with the app when your bike is stolen,Service,lock;bike
17,brake close with lock,without unlock the bike with printerthe brake will always at the locking condition,Service,lock;bike
18,car bike lock,this lock target at people who want have a expensive bike and enjoy them wonderful performancewhen they go outside with car and plan to bike they can open this functionthieves wont prefer to steal the bike on ceiling of car with lock,Service,lock;people
19,double lock :printer and brake control ,this lock need us to use our finger print and  phone together to open the lock it is troublesome but safer,Service,lock;bike
20,car bike parking structure,this will allow the bikes and the cars to be parked in the same parking structure it will eliminate the need to build a completely new infrastructure but simply add to what is already out there ,Infrastructure,bike;bikes
21,bike parking structure with name ,this is a parking structure that allows you to fully lock the bike before leaving with the bike you must put in a unique code and your name so that you do noto accidentally grab a different bike ,Infrastructure,parking;bike
22,bike app emergency ,this app not only has the functionality of the apps out in the market in terms of  sharing the lock on the bike with a friend and unlocking the bike using bluetooth but also has an emergency section that directly contacts the police for a bike theft ,Surveillance,bike;app
23,bike app tracker,this lock has a chip also attached to the bike this will allow the users to also know where their bike is at all times instead of being attached to the lock like the previous design it will be attached to the bike so that the user will also know where he had parked the bike in a bigger parking structure with more bikes present ,Surveillance,bike;bikes
24,bike lock that attaches to bike racks already present ,this lock attaches to a bike rack it will hopefully be pretty cheap so that the government can fund its attachment o the bike rack already in public today it will lessen the infrastructure needed for the bike sharing idea we have ,Infrastructure,bike;bikes
25,customizable bike sharing,this is a bike sharing program that will have several different kinds of bikes for all purposes to allow the public to have several choices for bike loaning ,Infrastructure,bikes;bike
26,bike parking structure ,it is still a bike parking structure but has several slots for people to pick up their bikes instead of just one location that will allow the users to do this this will lessen the congestion that may occur ,Infrastructure,bike;bikes
27,bike sharing inside parking structure ,this is the same bike sharing idea but has its stations inside parking structures this is a combination of a previous idea that incorporates the automated bike parking structure and the bike sharing idea,Infrastructure,parking;bike
28,automated bike ,this is a bike lock that automatically locks the bike and brings the bike to you once you are outside the parking lot it will involve several sensors ,Service,parking;bike
29,shoe chip ,this chip will be attached to your biking shoes that only allow the wheels of the bike to move if it recognizes the biker ,bike construction,bike;bikes
30,parking structure with multiple access ports,parking structure has multiple inputoutput ports so that rush hour is not as difficult,Infrastructure,parking;bike
31,multiple bike options,bike sharing with several models distribution of models will depend on the area in which the bikes are deployed lighter bikes for touristscommuters bikes with racks for grocery shoppers,Service,bikes;bike
32,hanging bike rack hooks,hooks that descend from ceiling raise and lower bike allows many casual establishments to allow consumers to bring bikes inside without affecting walking space,Infrastructure,bike;bikes
33,mountable front rack,a rack that be easily attached to a standard shared bike that allows addition of users custom attachments like xclip for phone additional lights etc,bike construction,lock;bike
34,mobile parking garage,tall vehicle stores bikes and takes several stops prevents need for land,Service,bike;bikes
35,bike sharing based off bitlocker,bitlocker is an advanced appinterfaced electronic lock location and access are shared through the app allows locking at existing infrastructure and is cheaper than building a tower,Service,lock;bike
36,bike sharing based off of linka,linka lock immobilizes bike preventing it from being ridden counts on the uniqueness of the bike and gps tracking to prevent it from being stolen and ridden,Service,lock;bike
37,flash bang grenade bike lock,when cut releases a bright flash that temporarily blinds thief it also texts you this gives you time to make it to thief and prevent theft,slow thief,thief;bike
