Concept Index,Concept Name,Description,Human Label,Machine Label
1,twistable bottom,a water bottle where the base can be twisted off so parents can easliy clean the bottle by hand,Cleaning,bottle;water
2,bottle scrub,brush with an extendable handle to reach the bottome of the bottle to facilitate cleaning,Cleaning,bottle;kids
3,doodle cleaner,stuffed animalsock that when put around the doodle bottle will wipe it clean of doodles,Cleaning,bottle;kids
4,doodle bottle 2.0,same doodle bottle but unscrewing the crazy top will show a pen so top is storage room for pen,Design Improvements,bottle;water
5,color bottle,think coloring book bottle will have outline for a designcharcter and kids will colorpaint in ,Design Improvements,bottle;kids
6,doodle bottle 2.1,doodle bottle but the crazy top has a string coming out so that kids can put it on their wrist easier to hold,Design Improvements,bottle;kids
7,funky sleeve,sleeve with buttons or clips so kids can add button pins beads etc also butons could be use to add straps ,Design Improvements,straps;sleeve
8,magnetic strip,doodle bottle with a magnetic strip allows kids to attach magnets or a magnetic handle to easliy carry bottle,Design Improvements,bottle;kids
9,maze bottle,a water bottle with a maze game in between two layers where kids move the ball through the maze using a magnet,Design Improvements,bottle;kids
10,cap connector,the cap is connected to the bottle so that the cap cant be lost,Design Improvements,bottle;water
11,doodle bottle handle pen holder,the doodle bottle has a handle that holds the penmarker,Design Improvements,bottle;kids
12,kid koozie strap clips,straps can be hooked on and off so that the stuffed character can be stored in other bags,Design Improvements,straps;sleeve
13,clear sleeve,clear plastic sleeve to protect drawings on doodle bottle,Design Improvements,sock;bottle
14,build a sleeve,kid koozie could have a package that kids can make their own stuffed character,Design Improvements,kids;backpack
15,sock monkey koozie,sock monkey sleeve with built in insultation to fit over reusable water bottlekeep drinks cold,Design Improvements,sock;bottle
16,sock puppet koozie,sock sleeve that comes in varying colorsdesigns with button eyes and funky fabricsaccessores,Design Improvements,sock;bottle
17,monster koozie,monster sock sleeve koozie that fits over reusable water bottle neoprene wetsuit material,Design Improvements,sock;bottle
18,doodle sock puppet,combines the sock puppet deisgn and doodle bottle inside material of sock puppet cleans doodle bottle by rubbing,Design Improvements,bottle;kids
19,rubber water bottle sleeve,fits on outside of water bottle and has bumpstactile elements protects bottle and is colorfulfun to play with,Design Improvements,sock;bottle
20,pop top koozie,kid koozie but hide bottle top underneath head of animal,Design Improvements,bottle;kids
21,storage koozie,have compartments on the koozie that allow kids to use it as a backpack for small items as well,Design Improvements,kids;backpack
22,backpack or not kid koozie,clips on the koozie that allow kids to use it as a backpack or just as a stuffed animal,Design Improvements,kids;backpack
23,doodle strap,strap that allows kids to carry bottle on wrist but also has pen attached to strap,Design Improvements,bottle;kids
24,doodle scrubbie,use a pen that only comes off with a certain scrubber,Design Improvements,doodle scrubbie
25,doodle bottle   with metal!,ferromagnetic bottle exterior that allows for the kids to draw with the magnet and is easy to erase,Design Improvements,bottle;kids
26,personabottle,kids tell ussend us what they want on the bottle unicorns their name lacrosse players the almighty hulk via online  we add and put exterior coating and ship directly no grocery store sales,Design Improvements,bottle;kids
27,market holders for doodle bottle,doodle bottle  storage for markers in bottom of bottle  sticking into the water bottle and arranged in a circle as a small cage for fruit to flavor water  there would be a screw on bottom flap,Design Improvements/ Health,bottle;water
28,animal insulator,the internal part of the stuffed animal where the water bottle is stored is an insulation layer that can keep the drink warmcold,Design Improvements/Temperature,bottle;water
29,crazy pop top ,the doodle bottle has a large opening for ice  screwed on is the crazy top animal character etc  that pops open to reveal a drinking straw for the child to use,Desing Improvements/Cleaning,bottle;water
30,fruit infuser ,doodle bottle that has a larger diameter inside is a small cylinder where parents can put fruit to flavor water,Health,bottle;water
31,half and half,bottle split into 2 that allows kids to have regular water on one side and flavored water on the other with spin top,Health,half and half
32,doodle flavor bottle,doodle with built in portion on bottom that opens up and allows user to put flavorsfruitsvitaminsetc into water,Health,bottle;water
33,vitamin infused tablets,fruit tablets that dissove in water and add fruity flavors to water and have added health benefit of vitamins,Health,water;cool
34,thermo water bottle,reusable water bottle that changes colors depending on how full it is with the goal to get kids to want to drink more,Health,bottle;water
35,ease clean bottle,have a cap that allows for either a smaller opening or ease of drinking and a larger opening for ease of cleaning by hand,Health,bottle;kids
36,dishwash koozie,make the whole kid koozie out of dishwasher safe material so whole thing can be thrown in dishwasher,Health,dishwash koozie
37,secret note bottle,secret notes can be written on the botte before being filled up  the water inside makes it disappear  the note is revealed at the water disappears,Health,bottle;water
38,secret message bottle,kid cuzie when the water bottle is empty kid cuzie releases a secret message that can be prerecorded,Health,bottle;water
39,identification,the water bottles have a place on the bottle to write contact information so that lost bottles can be returned to owner,Losing,bottle;water
40,track a bottle,a bracelet that syncs with your water bottle a bracelt around the top or just the bottle  when they get too far away the ring vibrates once or changes color,Losing,bottle;water
41,walker bottle,a water bottle that keeps track of how much you have walked  connected to a website so you can check when youre home  will help them keep track of it when theyre transitioning,Losing,bottle;water
42,insulated koozie,kid koozie but the bearanimal works also as a way to keep the water cool,Temperature,water;cool
43,insulation sleeve,kid koozie sleeve can provide insulation to the water bottle to keep waterdrink cool or hot,Temperature,water;cool
44,insulated koozie,kid koozie but have bottle be an insulated bottle as well,Temperature,bottle;kids
45,doodle koozie,snap on koozie that allows kids to draw on that instead of bottle,Temperature,bottle;kids
46,cool doodle bottle,insulate doodle bottle,Temperature,bottle;kids
47,"partnership with movie companies, e.g. disney, pixar",kid koozie can use movie characters as the sleeve for the bottle,Trends,bottle;kids
48,partnership with restaurant with kid's meals and toy,the toy in the package could be waterbottle sleeve to wrap around the kid koozie,Trends,straps;sleeve
49,diy monster koozie,craft that comes with eyeballs and other monster accessories that kids can custom designand put on their bottle,Trends,bottle;kids
50,fidget spinner bottle,reusable water bottle with fidget spinners attached to the outside not removable,Trends,bottle;water
