Concept Index,Concept Name,Description,Human Label,Machine Label
1,magnetic easy smart switch,a simple motor controlled switch that has a strong housing with magnets that can clip onto the infrastructure of any switch and work via wifi signal,Infrastructure Adapters,switch;switches
2,magnetic easy smart switch but magnet powered,same idea as above but utilizes electromagnets pulling an arm to toggle the switch which is less power and size intensive,Infrastructure Adapters,switch;switches
3,chair mate,create a device for wheel chairs that integrates seamlessly and can be sensed by lights and turns them on as one enters and exits the room,User-Interface Devices,lights;button
4,chair switchboard,a wheelchair integrated switchboard that can operate all the lights in a household from one switchboard that is connected to the wheelchair,User-Interface Devices,lights;button
5,smart watch app,an application integrated into a smart watch that allows full control over the lights ,Infrastructure Adapters,lights;application
6,bed side helper,motion sensing lights that can clip to the underside of any bed and stay lit for a set period of time when a user steps out of bed,Infrastructure Adapters,lights;button
7,master  kill switch,single button that turns on all the power in your house and runs all the lights when home and just a few when you are not ,User-Interface Devices,lights;button
8,dimmer controller,adapter for dimmers that has a small internal track that can interface and operate the dimmer function on any switch,Infrastructure Adapters,switch;switches
9,sip suck operated interface,for those who have no ability to move there are sipsuck controlled chairs this operation can somehow be integrated into light switch control,User-Interface Devices,switch;switches
10,touch palette ,easy simple palette integrated into wheelchair that takes a set of movements and touches and translates it into lights and appliance controls,User-Interface Devices,lights;button
11,night light with sensor,a night light that turns on when the room is dark at a certain time,Infrastructure Adapters,light;bulb
12,wifi socket light control,a socket for the light bulb that can be controlled through the wifi network,Infrastructure Adapters,light;bulb
13,remote with hanger and stand,a remote that can control a switch this remote have a hook so it can be hanged easily for storing purpose and also a stand so people can grab it easily when they wake up for example,User-Interface Devices,switch;switches
14,adaptable clip on switch,a box that can be put on top of any type of switches this box can be controlled remotely to control the switch that is covered by it there is an adjustable mechanism inside it that can adapt for different switches,Infrastructure Adapters,switch;switches
15,motion sensor clip on,a motion sensor that can be clipped onto any surface for example the side of your bed to control a switchlight will be integrated with a clipon switch or socket with sensor ,User-Interface Devices,switch;switches
16,timer switch,a timer thats connected to a small gate that hold the mechanism that can turn light onoff the idea is to use a mechanical system and as simple as possible,Infrastructure Adapters,switch;switches
17,add on to wheelchairs,a pocket that secures itself around the arm of a wheelchair and can hold a remote for light switch ,User-Interface Devices,switch;switches
18,touch plate and remote,a clipon or do rewiring to allow the switch to be a touchscreen this allows people who doesnt have fingers to easily turn lights onoff a remote is also available,Infrastructure Adapters,switch;switches
19,preset themes lights,an application that allows the user to group lightings in the house so it can be controlled with one button or a click,User-Interface Devices,lights;application
20,tension system switch,a tube with a cable inside is connected to a mechanism on the switch so when the cable is either pulledreleased it switch the light onoff this is a highly mechanical device,Infrastructure Adapters,switch;switches
21,smartphone watch vocal app,integrated into any kind of smartphone or smart watch this allows the user the absolute minimum number of touchpoints to turn a light on and off making the interface as simple as possible,User-Interface Devices,lights;application
22,host bulb w family,using a remote control one bulb is the host which is set to a certain channel in which its family of bulbs is also set  when that light is pointed to that and all the lights on that channel go on,Infrastructure Adapters,light;bulb
23,wearable room lights,using the wearable sensor we came up with the sensor controls all the lights at once and also has one button on it that when pushed turns all the lights in the room off,User-Interface Devices,lights;button
24,multiple switches switch,similar to prototype b this would cover all the switches on the switchplate and allow for all to be turned on or off at once as well as one at a timeworks with ambient lighting,User-Interface Device,switch;switches
25,pointer that clips onto glasses,one way to integrate the sensor is to use allow users to simply look at the light and turn it on  if the user wears glasses this is simple because we can create a sensor that attaches to the glasses frame  while this is a very small group of users it does show its customizability ,Infrastructure Adapters,lights;button
26,button attachment,a single button can be used to attach to virtually anything but most especially a wheelchair  the button will include sensors attached to all the lights in the house  when the user is in a room abd presses the button all the lights in that room will either turn on or off,User-Interface Device,lights;button
27,light timer,similar to prototype b the switchplate will be covered by a mechanism where you can set an amount of time that after pressing the button the lights will turn off  this will assist with getting into bed in enough time to keep the lights on,User-Interface Device,lights;button
