Concept Index,Concept Name,Description,Human Label,Machine Label
1,automated mini bar,instead of having to reach into the fireplace to grab a delicious spirit i propose an automated drawer mechanism that will roll outwards providing ease of access maybe this is activated when the screen door is opened,Social,bar;fireplace
2,combo ,maybe the mini bar could integrate a mini optical illusion one draw back would be amount of space but it would be cool,Social / Optical Illusion,bar;fireplace
3,running board,multiple interviewees have expressed that they would not be keen on wires and or power chords running out of the fire place to the wall outlet it may be in our best interest to design a way to obscure them maybe with running boards ,Optical Illusion,wires;frame
4,noise supressor,the oscillating pump is loud but not that large in size in order for this concept to work we will need to dampen the pump noise i dont think the pump heats up or would ever overheat so we can create a custom insulated box that it can permanently be stored in,Optical Illusion,illusion;wheels
5,remote control,for the minibar it may be cool if we had a  way to open the screen remotely,Social,wires;frame
6,secret lever,tapping into to speakeasy theme for the minbar how cool would it be if you twisted a wall mounted candle to open a secret passage thats of course a bit much but a button that could easily be hidden from plain sight would be an upgrade,Nostalgia,illusion;wheels
7,safe,people dont often look at or into empty fireplaces if a screen was put in place to conceal what is inside then maybe a safe box could be installed for items of high importance,Storage / New Concept,screen;box
8,lock,there should be a way to lock away the booze since it close to the ground and in the reach of children this also applies for the optical illusion idea,Social,illusion;wheels
9,caster wheels,there will be much consideration in terms of ease of install and the ability to convert back to a fireplace but it should the product should also be easy or at least somewhat easy to clean and maintain if  caster wheels where mounted to the fish tank for the optical illusion idea this would help in regards to easy of upkeep,Optical Illusion,illusion;wheels
10,old timey music,to go along with the speakeasy theme maybe when the screen is opened and old timey song could play on that was popular in the nightclub scene around that era,Nostalgia,screen;box
11,size adjustable,fireplaces are not particularly standard sizes so adjustable bezel or frame would be very helpful,Social / Optical Illusion,wires;frame
12,easy fix replacement parts,make the tubing and other parts very easy to access and fix if a malfunction occurs this is very important to the customer that the product is not overly complex to maintain,Optical Illusion,tubing;product
13,additional heat source,some allure of a fireplace is the direct heat it brings to a group of people adding that heating element back would be a nice touch to what it is replacing,Nostalgia,illusion;wheels
14,flat pack,make either model disassemble and pack flat for easy and cheaper shipping,Installation,display;look
15,mini bottles,adding singleserve mini bottles of lessused liquors to the mini bar,Social,bar;fireplace
16,battery powered,one way to deal with the powercord issue for the water optical illusion,Optical Illusion,water;illusion
17,fire retardant base,the product should have a flameretardant base just in case of any accidents such as the gas fireplace being turned on,Installation,water;illusion
18,sound effects,crackling fire or watter dripping sound effects or both for the water illusion to make it a multisensory experience,Optical Illusion/Nostalgia,water;illusion
19,ice bucket,an insulated ice bucket for the minibar to keep glasses or certain liquors cold for social events,Social,bar;fireplace
20,utensils holder,a bar utensil holder for the minibar that looks like the holder next to a functional fireplace for the tongs and other fire implements to simulate the atmosphere in a clever way,Social,bar;fireplace
21,crown moulding,this is a classylooking way to make the product adjuststable to different sizes of fireplaces adjustable crown moulding around the perimeter,Installation,tubing;product
22,bar cart ,having the liquor and utensil storage of the minibar be removable in one piece so it can be placed on the table for parties,Social,bar;fireplace
23,door mechanism,attaching the outer edges of two swingopen doors to the rolling cart of the minibar product so that it automatically rolls out when the doors are opened less difficult to reach alcohol,Social,bar;fireplace
24,flickering backlighting,having flickering warm led lighting under the bottles to simulate fire visuals and give the bar a cool modern look,Optical Illusion/Nostalgia,bar;fireplace
25,thinner illusion tank,making the firewater illusion tank thinner than previously imagined so that it can also be wallmounted or placed in other locations for people who dont have a fireplace as well as those who do thinking about the invisible consumers,Optical Illusion,illusion;wheels
26,speaker cord conceal,placing speakers on either side of the water illusion display music can add to the experience the leds can be synced to the music but most importantly it would help make the snaking power cord look more natural,Optical Illusion,display;look
27,anti fog coating,the water illusion tank will be at risk of fogging in hot temperatures and climates to avoid this we can coat it in an antifog coating such as for skiing goggles,Optical Illusion,water;illusion
28,mirrored sides,the inside sides of the firewater illusion can be coated in a reflective material to make the display more vibrant and appear to go on forever on both sides,Optical Illusion,display;look
29,glasses,adding storage for shotsize and regular glasses to the minibar potentially as a modular addin for larger fireplace sizes so that users dont need to go to the kitchen to pour a drink,Social,bar;fireplace
30,cigar box,modular addin of a cigar box for the minibar to add to the speakeasy appeal and style,Social,display;look
31,cocktail recipe book,small book of classic cocktail recipes to make the user look like a renaissanceman or woman who doesnt need to look up recipes on their phone,Social,display;look
