Concept Index,Concept Name,Description,Human Label,Machine Label
1,bike sharing,bike sharing,Faster Transportation ,Faster Transportation 
2,better time management,some kind of service that helps to layout time and optimize amount of work that can be done before it gets dark,Personal Improvements,Personal Improvements
3,panic button,students can hit a button which will alert all authorities in the area of their location and other biometrics in case of emergency,Personal Security,Personal Security
4,that was easy button,a less violent emergency button which focuses on getting someone to help you in case of emergency but not necessarily rush event,Personal Security,Personal Security
5,environment awareness,generally find a way to help with increasing personal awareness of environments such as mapslocations,Personal Awareness,Personal Awareness
6,activity awareness,generally find a way to help with increasing personal awareness of time for example understanding that at 1am the most crimes happen so its not a good idea to leave the library as opposed to leaving at 4am when most people may be asleep,Personal Awareness,Personal Awareness
7,augmented awareness,a wearable that may have sensing capability to provide user with relevantuseful information even with low visibility during night,Personal Awareness,Personal Awareness
8,ninja mode,if a robber cant see someone they cant rob someone,Personal Improvements,Personal Improvements
9,personal lighting,personal lighting,Personal Security,Personal Security
10,rent a dog,give more communal security by having a friendly dog to walk to your apartmentlocation not only are they cute but they can sense when other people are aroundunsafe situations,Communal Security,Communal Security
11,drone dog guide,a drone could preanalyze a route that you input and potentially detect any suspicious activity around the area,Communal Security,Communal Security
12,way points,special posts around campus that may help to guide a student around as well as have sensors  and update the path real time with suspicious circumstances,Personal Awareness,Personal Awareness
13,global lighting,general issue of figuring out how to bring more light into night time situations general theme of darkness is equivalent to insecurityuneasiness during transportation,Communal Security,Communal Security
14,promote stronger community,general idea to create a more interconnected community that is more willing to help each other,Communal Security,Communal Security
15,trend analysis on streets,trend analysis on streets,Communal Security,Communal Security
16,support personnel on demand,support personnel on demand,Communal Security,Communal Security
17,route sharing,students taking similar routes home could match and walk together to help improve safety and confidence,Communal Security,Communal Security
18,geo fence authorized users,much like how some buildings require keycard access campus could have a virtual fence that when crossed without authorization triggers some silent alarm,Communal Security,Communal Security
19,safe zones,safe zones,Communal Security,Communal Security
20,personal shuttles,shuttles that are less based on specific routes but by detecting student activity hotspots focus on where students actually are,Communal Security,Communal Security
21,underground walkways that are safer,a series of tubes underground that allow for only authorized users to access which would go between common waypoints,Communal Security,Communal Security
22,infra red goggles,improves personal awareness and visibility at night while not drawing extra attention to the user at night,Personal Awareness,Personal Awareness
23,global agent awareness,having a way to track passively where people are and generate heatmaps for policemunicipal services to know physically how manywhere people are,Communal Security,Communal Security
24,municipal sensor network,giving municipalities a wide range of telemetry options to track occurancesissues in the area,Communal Security,Communal Security
25,pepper spray turrets,pepper spray may not be easily usable in the middle of an encounter so automatic deployment may be useful,Communal Security,Communal Security
26,bikes available for students to rent,give bikes to students to rent rent period would be around 18 hours so that they can come back during the day to return the bike,Faster Transportation ,Faster Transportation 
27,public location sharing,have a signpost that publicly shares all information about where anyone is,Communal Security,Communal Security
28,active street post light the way,users could put in a location they want to get to and the light posts along the way would light up and show them where to go,Communal Security,Communal Security
29,personal telemetry device,a very active telemetry package which would track your location using a multitude of sensors and automatically post all of that information onto a website where trusted family and authorities could view,Personal Security,Personal Security
30,dead man switch,when transitioning from a safe location to an unsafe location user holds down dead man switch signifying they are safe if they find themselves in an unsafe or uncomfortable situation they will let go of the switch and it will send a notification out to authorities or people of interest,Personal Security,Personal Security
