Concept Index,Concept Name,Description,Human Label,Machine Label
1,3d flyby,rebuild models after scanning the patientsê bodies this can help students to see how it works,Receiving,Receiving
2,instruction projector,directly project treatment instructions on injuries this can help doctors follow instructions and ensure operation quality,Better Treatment,Better Treatment
3,ai doctors,use artificial intelligence to search database for case studies then analyses them for the best solutions,Better Treatment,Better Treatment
4,robot assistants,doctors can ask robots to do simple jobs for them during the operation robots can do their jobs more accurately than human assistants,Better Treatment,Better Treatment
5,reality rebuild,students can experience the operation by vr glasses and tactual gloves they can see and touch as if they were doing the operation,Practicing ,Practicing 
6,patients simulation,we can make a simulator of patients base on previous case studies students can experience treating by using the system the system can use vr or other equipments to promote the sense of reality,Practicing ,Practicing 
7,penetrate eyesight,doctors can use special helmets with xray on it to see inner condition of patients immediately,Better Treatment,Better Treatment
8,first aid _thermal imagery_,doctors can install a special lens on phones that enhance their phones to measure body temperature immediately this enables doctor to correctly treat patients when lack of equipments,Better Treatment,Better Treatment
9,virtual classroom,students can learn at home watching their professors demonstrate operations,Receiving,Receiving
10,pre operation simulation,doctors enter statics into computer then practice the operation,Better Treatment,Better Treatment
11,treatexchange.org,a website integrates basic treatments together students can use it like a wikipedia,Remembering,Remembering
12,self check first aid,when patients are not feeling well they can use a software to diagnose themselves this can provide firstaid and save money for patients,Better Treatment,Better Treatment
13,body simulators,students can use this gamelike software to discover what will happen when some parts of the body are going wrong this can help students memorize medical knowledge ,Remembering,Remembering
14,ar enhancing instruction,students can use an advanced reality glass to get instructions without touching anything voice control and get directly get information,Practice/Remembering/Better Treatment,Practice/Remembering/Better Treatment
15,3d printing models,doctors can use 3d printing models to better explain their ideas ,Better Treatment,Better Treatment
16,memory master,personal medical knowledge management is difficult ¾because the quantity is too large ,Remembering,Remembering
17,take medicine on time,i discovered a example that a fruit with a spiked burdock can tightly stick to the dog we can also use this method to hang the medicine on the wall on the head of the bed and remind patients to take medicine on time,Remembering,Remembering
18,gather knowledge,use a machine that can quickly search the information that had been learned,Remembering,Remembering
19,improve clarity,once we thought ahead and figured out the prototype of our product but we discovered this product can not strictly control the clarity of the product in this case we use highdefinition camera to guarantee its clarity,Better treatment,Better treatment
20,alert & notification,we need to add some voice to our product this can be achieved by using biomimicry method for example imitate the voice of birds and other animals,Better treatment,Better treatment
21,get help,every inexperienced doctors post unsolved question online and get help from experienced doctors ,Better treatment,Better treatment
