Concept Index,Concept Name,Description,Human Label,Machine Label
1,trip planner,allows you to store multiple trip plans and insert your own schedule for the day,Apps,app;passengers
2,intalk,allows you to anonymously talk to other passengers,Apps,app;passengers
3,social online,social media app for passengers,Apps,app;passengers
4,bart dating app,bart app for commuters ala tinder,Apps,bart;projector
5,mobile app,alerts user of times delays etc,Apps,app;passengers
6,interactive game,game you can play while on the bart,Apps,bart;projector
7,comfy bart,app that allows you to adjust settings in car like temperature light etc,Apps,app;passengers
8,bart helper,shows map and stops in real time,Apps,bart;projector
9,voice only app,app that communicates about bart through voice interface,Apps,bart;projector
10,temperature conditioner,make you feel more comfortable no matter too hot or cold,Cabin Feature,box;help
11,brain clear,help you wake your brain up by solving some question,Cabin Feature,box;help
12,alarm,when emergency happens on train,Cabin Feature,train;cabin
13,push the button, surprise box with push button help riders to relax,Cabin Feature,box;help
14,window monitor,window monitor that shows train info,Cabin Feature,train;cabin
15,flying balloon,flying in the cabin to signal stops ,Cabin Feature,train;cabin
16,material of seat,easy to clean material for seats inside train,Cabin Feature,seats;seat
17,music memory,musics play and differ from each stops to signal,Cabin Feature,music
18,charger in cabin,chargers that prevent riders smart phone battery from dying,Cabin Feature,train;cabin
19,juke box,wifi connected accessed juke box playing music,Cabin Feature,music
20,bart box,builtin platform,Cabin Feature,bart;projector
21,in seat device,inseat device that provide services,Cabin Feature,train;cabin
22,bart clock,displays info about station train is headed to ,Cabin Feature,train;cabin
23,in car monitor,displays info about station train is headed to ,Cabin Feature,train;cabin
24,seat speakers,to hear personalized announcements from seats like which stop,Cabin Feature,seats;seat
25,interactive window,touch screen window that gives information about the trip,Cabin Feature,app;passengers
26,musical box car,provide diverse music to those who want to release their depress,Cabin Function,box;help
27,silent box car,provide a silent place to those who want to take a rest,Cabin Function,box;help
28,changeable ceiling,provide different scenery or feeling by changing ceiling,Cabin Function,box;help
29,active cabin,create a space for activities,Cabin Function,train;cabin
30,premium seats,multi function cabin,Cabin Function,seats;seat
31,upper level,release peoples depress,Cabin Function,level
32,transportation radius,make a comfortable place for to stay and communicate,Cabin Function,box;help
33,bart community garden,create a comfortable and beautiful space for people,Cabin Function,bart;projector
34,food map,once you hit the bottom it will help you find the nearest restaurant recommend,Map,box;help
35,travel map,interactive planner,Map,app;passengers
36,interactive map,map that uses location to generate userspecific info,Map,train;cabin
37,projector,projects bart infoallows conductor to illustrate announcements,Map,bart;projector
38,energy vendor,provide supply to traveler,Misc,box;help
39,premium seats,pay to access better seats,Misc,seats;seat
40,upper level,shopsrestrooms above station,Misc,level
41,transportation radius,suggests best possible mode of transportation,Misc,train;cabin
42,clean robot,goes around cleaning car,Robot,app;passengers
43,bart company,robot designed like a person to interact with passengers,Robot,bart;projector
44,bart tarts,small robot that moves around cabin,Robot,bart;projector
45,bart buddy,small box shaped robot that walks around the cabin communicating with people,Robot,bart;projector
46,in seat buddy,robot that is attached to each seat,Robot,app;passengers
47,eye mask,show riders destination help other to take inner or outer seat,Wearable Device,box;help
48,bart vr glasses,provide a cool experience and make fun for those who feel boring,Wearable Device,bart;projector
49,quiet journey,to block out noise from moving train and be aware of stops,Wearable Device,train;cabin
50,bart headphones,to block out noise from moving train,Wearable Device,train;cabin
51,clever watch,with holographic,Wearable Device,app;passengers
52,smart ear plugs,to block out noise from moving train and be aware of stops,Wearable Device,train;cabin
53,bart shades,this pair of glasses is cool to wear and provide info,Wearable Device,train;cabin
54,bart shoes,vibrate at your destination,Wearable Device,bart;projector
55,bart earpieces,communicates essential info,Wearable Device,bart;projector
56,bart watch,multifunction watch bart service,Wearable Device,bart;projector
57,jewelry,beautiful jewelry combine service function,Wearable Device,train;cabin
58,portable device,provides bart service and train info,Wearable Device,train;cabin
59,bart glasses,map projection changes shade based on time of day,Wearable Device,bart;projector
60,personal device,you get and return at exit,Wearable Device,train;cabin
