index,Concept Name,Concpet Description,Human Label,Machine Label
1,user friendly gui,an easy user friendly graphic users interface which provide ease of access to various function for beginners,user interaction,software;functionality
2,gui,packaging of morphing software using a visual graphic based gui expresses weight settings and definition visually,user interaction,software;functionality
3,cui  pure text,packaging morphing software using a text based cui weight setting and definition by coding andn text entering,user interaction,software;functionality
4,explain results,optimization problems software explains why it used certain parameters and weights to functions,ease of data representation,software;functionality
5,different costing,give different pricing for different versions,costing,cad;functions
6,face recognition security,the software has a face recognition feature to prevent others to open the design drawings and assembles,user interface,software;users
7,mobile installation ,the software can easy to install in the mobile as an appin the cell phone,user interface,software;users
8,design on ipad ,the software can install on the ipad for users to design and create drawing in purpose of capturing ideas in users lives,user interface,software;users
9,3d scan morphing,a 3d image scanner to scan yourself morph your head onto another body,learning the software games,simulation;scanner
10,accurate 3d scanning,the software contains a 3d scanner to scan objects into the software with accurate dimensions,import functions,software;users
11,adaptable algorithm,write algorithm such that any user can add it to a software they use to optimize,import functions,software;users
12,3d scanning,the software can scan the object by a selfcontained scanner,import functions,software;users
13,social media support,social media is a place to help users and customers to share their using experiences and post their thoughts and ideas,external help,users;customers
14,simple installation,easy installation process  does not require extra attention or actions simply approve installation and it will do the rest,installation,software;functionality
15,dseign template,add cad models to a set template select functions click enter get results,user interaction,cad;functions
16,collaborative drawing,the software allows multiple users to work on the drawing interface,file/device integration,software;users
17,automatically generates presentable data,can convert data in bar graphs line charts pie graph etc,ease of data representation,function;curve
18,3d printing,the drawing from software can be printed through a 3d printer,export functions,software;users
19,error reporting,simple interface for users to report errors easy process with clearly defined categories to speed up the process easy to findaccess,in-built help feature,software;functionality
20,consulting service,user gives us cad models and we optimize it and return it to the user,targeted markets,user;users
21,diffeent pricing packages for efficiency,offering different pricing for different levels of computing and different accuracy level,costing,software;functionality
22,speak and tell,talk to the software what to do and it will understand and do it,ai,software;users
23,error feedback,reminders and hints of acceptable inputs or suggested inputs provides immediate feedback and alternative solutionsinputsmethods,in-built help feature,function;curve
24,function descriptors,descriptions of functionsbuttons when hovered on reduces learning curve does not rely on user memory,in-built help feature,function;curve
25,free trials,the free trial is for a limited period of tie to let users experience the softwre,costing,users;customers
26,online help service,you can send your design online and get help with optimization,online help services,design;projects
27,online forum ,an online forum where people help you design as projects for them but work done for oyu,online help services,design;projects
28,graphics tablet input,allows users to control draw and edit inputs and designs via a connected graphics tablet,import functions,user;users
29,minimized analysis time,the software uses artificial neural network to analyze results during the simulation process,improving efficiency and power,software;functionality
30,allocate processing power,a system which allows you to allocate the computers ram to a particular required computational power threshold by the software,improving efficiency and power,software;functionality
31,graphic design aid,appeals to graphic designers rather than engineers focus on the pure morphing aspect rather than the fluids and design ,targeted markets,design;projects
32,augmented reality ui,simulate in augmented reality see a train undergoing a simulation in your living room,ar/vr/gr & haptics,simulation;scanner
33,iron man hologram simulation,simulation shows the working via a hologram walk into your simulationmodel make changes with a controller,ar/vr/gr & haptics,simulation;scanner
34,high compatibility,the software can run on all types of computer systems,compatibility,software;users
35,multiple compatibility,multiple compatibility help morphing software to operate on different types of computer systems,compatibility,software;users
36,small installation file size,it reduces the installation time for the users,installation,file;files
37,manufacture simulation,allows users to see possible manufacture processes for the new optimised design provides visual process and step breakdown helps determine manufacturability,file/device integration,user;users
38,online searching,users can type the design goals and then the software can automatically search the relative design,online help services,software;users
39,multiple accesing,multiple users can operate the same file,easy to use,file;files
40,small files,all the drawings and assembly files are minimized and they open immediately,easy to use,file;files
41,bluetooth connection,this method is to put multiple laptops togher to share files without wires,easy to use,file;files
42,automation,software can automorph autocreate a design from scratch,ai and machine learning,software;users
