index,Concept Name,Concpet Description,Human Label,Machine Label
1,catch the fish,game based on catching fishes in the ocean,daily life related,balls;stick
2,mountain hiking,climbing mountains and trying to get to the top,daily life related,balls;stick
3,chemical material collecting game,collect many kinds of chemical elements and combine them in the right way to level up,adventure,game;kids
4,paper world,folder or cut papers to create items for the vr world,fiction games,vr;users
5,vr rail walk,a rail walk to learn the physics of rail ,adventure,vr;users
6,vr cooking,an interactive way of learning cooking with virtual tutorials using vr,daily life related,vr;users
7,vr pet,keep a pet in vr world,daily life related,vr;users
8,physic baseball game,learn basic physics concepts through vr baseball game,physical sport game,vr;users
9,table tennis vr,a virtual world where users can interact and play table tennis,physical sport game,vr;users
10,vr car driving,a virtual world where users can learn how to drive a car using equipments like steering kit and vr goggles,simulation,vr;users
11,vr prototype,pick and attach different objects to prototype and test a product helps the users to practical understand concepts,simulation,vr;users
12,space station fleat,view earth and planets from space station,earth science games,planets;view
13,telescope view,viewing stars and planets using telescope,earth science games,planets;view
14,vr chemical lab,chemistry is hard to learn however using this app its much easier user can play around with atoms and create new molecules,prep education,environment;planets
15,disaster simulation,learn how to react to emergency such as earthquakes and fire,prep education,environment;planets
16,vr breadboard,build fantastic circuits through connecting wires to the breadboard to learn how to use and how it works,prep education,environment;planets
17,vr science lab,learn basic usage of lab kit,prep education,vr;users
18,solve the puzzle to save the princess,set a goal for the game to give kids a target to pursue,game mechanics and features,game;kids
19,multiplayer mode,every game should have multiplayer mode so that kids can play with friends,game mechanics and features,game;kids
20,reward system,players can get reward after completion of assigned mission for example they could get the materials they need to build their village for a strategy game,game mechanics and features,game;kids
21,simple instructions,since our users are kids we need to keep the instructions or any other texts in the game as simple as possible,game mechanics and features,game;kids
22,harry potter stick,flying using magical stick used in harry potter,fiction games,balls;stick
23,beat the monster with math,throw the balls of which the sum of weights is exactly the hp of the monster to kill it,fiction games,balls;stick
24,vr space travel,learn the knowledge of cosmos through the virtual reality space travel higher player level can go to further planet,earth science games,environment;planets
25,space vr,3d view of the solar system to explore and learn about planets comets stars and satelites,earth science games,environment;planets
26,into the earth,a journey to the center of the earth to learn geology and earth science ,earth science games,environment;planets
27,vr industrial visit,visiting industry for educational purpose is not safe to children this app brings the virtual environment of a industry where children can interact and learn using equipments,simulation,environment;planets
28,build village,learn how to build a house through playing with vr building blocks,constructing game,vr;users
29,vr bridge construction,by constructing bridge in a virtual reality world users can learn about forces momentum and structures,constructing game,vr;users
30,vr zoo,learn the basic biology knowledge of animals through virtual reality zoo,adventurous biology games,vr;users
31,zoo safari vr,take a virtual safari trip into the zoo viewing animals to their natural habitat,adventurous biology games,vr;users
32,vr plant,3d structure of a plant to interact and learn about photosynthesis root system and leaf distribution,adventurous biology games,vr;users
33,flying airplanes,learn the airflow and other physical knowledges about airplanes and how they work,daily life related,environment;planets
34,roller coaster,build structures of roller coasters and simulate the ride,constructing game,balls;stick
