index,Concept Name,Concpet Description,Human Label,Machine Label
1,tensegrity compogrity,change the material of the tensegrity rods to one with a higher impact resistance higher strength to weight ratio  preferably composites,weight/ impact toughness,rods;cables
2,2 shape lattice,rubber lattice shapes that consist of triangle and diamonds to ease assembly and cut down on rubber waste,weight,rods;cables
3,mid mounting,enclosure is mounted to rest of sphere by cables tethered to middle of rods,weight,rods;cables
4,tiny,a small bot so that it can get into small places,mod save america; locomotion,move;jump
5,micrott swarm,reduce the size of the tensegrity to a tiny robot capable of working in a swarm these robots can then move around multiple areas to cover more ground in the same timeframe than 1 large tensegrity,flexibility,robots;robot
6,modulagrity,enable modularity of the tensegrity robots to enable it to change sizes by connecting to several other tensegrities robots,flexibility,robots;robot
7,axial spring,decouple motors from stretchiness of sphere by placing springs on axle of motor,locomotion,springs;motors
8,combined tensegrity shapes,tensegrities that can be joined together to make different shapes can be used for various purposes,modularity,bars;shapes
9,pulsating lights,pulsating lights on tensegrity allow for easy identification at the diaster site,secondary function,bars;shapes
10,cover it!,covering the payload and sensitive instruments of the tensegrity using a durable cover,impact toughness,
11,pull,grabs something and use it to pull cog forward grab next thing and use to pull cog forward,locomotion,move;jump
12,directional tread on endcaps,keep feet moving in proper direction by having spikes or something pointed in the opposite direction,locomotion,move;jump
13,tensegrileap,introduce spring like feet to the endcaps of the tensegrity sphere helps the tensegrity jump past obstacles it cant otherwise roll over also helps act as a force dampener during deployment,locomotion,move;jump
14,wrap around ,elastic fabric to wrap around device to help protect the components ,secondary function,rods;obstacles
15,wider rod ends,increasing the surface area of the contact points rod ends to help with the stability,secondary function,rods;obstacles
16,extendable rods,extandable rods that can help shifttip the center of mass,secondary function,rods;obstacles
17,kick  stand,add a component that behaves as a kickstand to help with balance,secondary function,rods;obstacles
18,removable endcaps,be able to switch out endcaps so we can test materials and springs,flexibility,bars;shapes
19,robo paint,robot paint enables easy identification of robot during search and rescue operations for example a red colour robot can be easily identified by a victim who can then call for help,secondary function,robot;robo
20,thermal imaging robo,thermal imaging allows the robot to view the heat images of the human being allowing for easy identification,secondary function,robot;robo
21,bubbleit,encase the tensegrity in a light thin elastic bubble protects the tensegrity from any falling debri during an earthquake,integrity,earthquake;disaster
22,resistant robots,when impacted by an object the robot is able to regain its elastic state,impact toughness,robot;spider
23,heavy load carrying robots,a wide flat robot with a large back which is able to carry heavy loads from one place to another,weight,robots;robot
24,robo tether,robo tethers allow for easy grab and release of an object,flexibility,robot;robo
25,shrink!,the robot adjusts length of spine according to need,flexibility,robot;robo
26,steady!,the robot uses walls to improve its stability,flexibility,robot;robo
27,break!,the robot breakspushes through terrain that is in the way grass rocks,locomotion; impact toughness,robot;sensors
28,expand!,the robot is wide so that the unevenness of the terrain is flat relative to size of contact area like a monster truck,locomotion; impact toughness,robot;sensors
29,plunger endcaps,use air as a springdamper for end shock absorbtion,impact toughness,
30,helpless,robot asks for help uses local resources help me and carry me,user experience,robot;robo
31,loyalty,protects humans provides cover when near humans while disaster is occuring,secondary function,earthquake;disaster
32,rope,many fibers on tensile component  if one breaks ther are others,integrity,rods;cables
33,coverme,cover the springsspools in an elastic protective sleeve to shield them from the elements sharp objects,integrity,rods;cables
34,deployable sensors,robot carries and deploys sensors across disaster area,secondary function,robot;sensors
35,increased rod number,increase number of rods to improve stability of the robot,secondary function,robot;sensors
36,intelligent robot,has sensors collects data processes it and decides which route is best to get to victims,secondary function,robot;sensors
37,stopme,sensors to prevent the tensegrity robot from rolling into something that may damage it lidar uv sensors,secondary function,robot;sensors
38,shape memory polymer,the shape memory polymers enable the researchers to finetune how quickly each strut expands by adjusting at which temperature the expansion occurs ,impact toughness,rods;obstacles
39,rubber spring feet,rubber domes attached to end of rods using thick fat compression springs,impact toughness,rods;cables
40,endcap enclosure tethers,enclosure is mounted to rest of sphere by cables tethered to ends of rods,impact toughness,rods;cables
41,soft electronics enclosure,cover electronics enclosure with soft foam to mitigate damage from occasional rod collisions,impact toughness,rods;cables
42,breakaway cables,have some singleuse cable attachments that act as mechanical fuses in order to break fall from drone,impact toughness,rods;cables
43,thicker rods,simply have thicker rods for the tensegrity sphere to further resist buckling,impact toughness,rods;cables
44,motors on a dampening system,attach motors to a dampener to soften direct blows on it to the shaft it is attached on,impact toughness,rods;cables
45,adjustable spring tension,change spring tension to tighten just before robot experiences high impact loading,impact toughness,rods;cables
46,drillcap,have drills on the endcaps of the 6bar tensegrity to enable it to climb vertically it will drill onto a rocksoft material to provide a stable grip,locomotion,bars;shapes
47,squish!,the robot flattens itself to squeeze through tight areas,flexibility,robot;spider
48,weave!,the robot weaves between objects,flexibility,robot;spider
49,waterproof robots,a waterproof sheet wrapped around the robot which protects the payload and all the internal sensitive compeonents,secondary function,robots;robot
