index,Concept Name,Concpet Description,Human Label,Machine Label
1,sewing machine ,with multiple heads that can move 3 dimensions it ccan become a sewing machine,application,printer;controllers
2,molecule 3d printer,create molecules by ejecting one atom at a time,application,printer;controllers
3,sealant or protective coating,can use printer to create a protective coating over odd shapes ,application,printer;controllers
4,packaging,can use printer to create packaging for odd shaped objects,application,printer;controllers
5,adjustable extruding nozzle,a controllable extruding nozzle size can help reduce the risk of material clogging,function,material;pla
6,cleans of excess 3d material on object,residue material is cleaned off automatically from object and machine,function,material;pla
7,3d printer pen,a pen that heats up filament and extrudes the material into shapes,new form,material;pla
8,metal 3d printing,creating structures freeform using metal,application,printing;materials
9,3d printing prototype models,used to quickly prototype of ideate models to present,application,printing;materials
10,3d printed house,customized printing of concrete blocks and onsite stacking and assembly by a 3d printing like machine,application,printing;materials
11,3d printing consulting,a consulting service for helping customers select 3d printing technics and materials based on their needs,application,printing;materials
12,3d mending,3d printing done on existing objects to fix or change the shape of the objects,application,printing;materials
13,suurgery prototyping,pla 3d printing can be used to do prototyping in surgery so the doctor can see whats the best plan for the patient,application,printing;materials
14,3d printing furniture,3d printing furniture can deal with complex parts and it is biodegradable,application,printing;materials
15,fluidic device,pla can 3d printing fluidic devices because usually they conatins complex parts,application,printing;materials
16,uav parts,pla is light so it is good for 3d printing uav parts besides you can customize your parts,application,printing;materials
17,decice holder during shipping,device holder during shipping usually comes with complex parts 3d printing can handle that also pla is soft but have enough mechanial property to protect the device it is also biodegradable,application,printing;materials
18,multi material printing,able to print more than 1 kind of material in one job,application,printing;materials
19,welding 3d printer,use stick welding as a printing method ,application,printing;materials
20,laptop case,laptop case always wastes a lot of material but 3d printing dont need to weld therefore it can save more material,application,printing;materials
21,3d printing hair,for now most fake hair are from real peoples hair you can directly print the hair style you wanted,application,printing;materials
22,3d printing tissue for animal ,some animals lose some part of their body for example hunters take the tooth from elephants 3d printing tissue can help those animals back to their normal lifes ,application,printing;materials
23,3d printing jewelry,jewelry usually comes with complex process 3d printing can help to minimize this process,application,printing;materials
24,reverse engineering,3d printer with camera scanner a allinone machine used for reverse engineering,application,printer;scanner
25,cable printer,extend existed cable length if needed,application,printer;scanner
26,3d printing material recycle code,for now there isnt any recycle policy for pla and other 3d printing material it is good to build up a rule which everyone can follow like what we did to recycle trash,policy,material;pla
27,3d colouring,create an extra nozzle in addition to the current one used to coloring the object during printing process,function,printing;materials
28,thermal expansion estimating algorithm,an algorithm used to predict the 3d printed object size based on monitored temperature and printing data,function,printing;materials
29,multiple automatic switching nozzles,multiple nozzles enable 3d printing different materials on a single job thus better meets the customer needs,function,printing;materials
30,visualize printed object analysis,help user visualize the full structure  property analysis after printing,function,printing;materials
31,temperature control,temperature of printing enviroment can be controlled for special purpose,function,printing;materials
32,customized material mixer,user can customize theri material according to theri special need at the moment of printing,function,printing;materials
33,auto polishing,after printing can auto polish the surface to have a nicer look,function,printing;materials
34,insert printing,can print around an existing object to make a fit,function,printing;materials
35,no size limitation,the printer can be easily set up for large printing job,function,printing;materials
36,hologram display,can be a hologram display to show the 3d geometry before printing,function,printing;materials
37,brain wave printing,can read the signal from brain as a person think how things will look like and print,function,printing;materials
38,post processing ability,can modifycut drill hole etc the product after it has been printed,function,printing;materials
39,speed up process of 3d printing,printing takes hours so multiple nozzles should decrease the time ,function,printing;materials
40,fast heat nozzle,for now 3d printing takes long time to warmup this nozzle can warmup pretty fast,function,printing;materials
41,one  step solution,our 3d printing machie can do several different functions in one machine for example step 1 printing step 2polishing step 3 welding,function,printing;materials
42,gradation material,change the ratio of the materials during printing process can control the material property its something hard for traditional material,function,printing;materials
43,maintenance part,can print out easy maintenance part for bikes or other simple mechanical parts,application,printer;parts
44,3d printed 3d printer,a project that allows user to print out parts and assemble a new 3d printer,application,printer;parts
45,automated internal support,automate simulation and add internal support to make the part stronger,function,printer;controllers
46,scan for duplication,able to scan an existing object and duplicate,function,printer;controllers
47,communicating robot,blend in with amazon echo to become a intelligent robot,function,printer;controllers
48,wireless 3d printer,receive signals wirelessly from other devices such as phones and tablets,function,printer;controllers
49,multi function software,a software that is able to open all sorts of 3d model files and convert to slicer,function,printer;controllers
50,editing 3d model in vr,construct 3d model in virtual reality with goggle headsets and controllers,function,printer;controllers
51,better user interface,a more user friendly ui with touch screens and clear functions,function,printer;controllers
52,3d organ bioprinting,can build structures with cells or hydrogels,application,3d organ bioprinting
53,3d structures,can build structures in any shapesize and the material would be strong enough to hold it,application,3d organ bioprinting
54,3d printed circuits,circuits that are printed in any shape and dont need extra material,application,material;pla
55,embedded optical elements,pla can have electronic property by combining with other materialslike graphene or metals this chip can be directly embedded in mechanical structure,application,material;pla
56,airfoil and propeller,pla combine with other material can enhance its mechanical property so it can print airfoil and propeller,application,material;pla
57,brushless motor model,pla can be magnetic by adding other material this brushless motor would not hurt your fingers during operation ,application,material;pla
58,phone case,pla is soft  therefore it is a good material to do phone cases also you can customize your own case,application,material;pla
59,education tool,students can choose the material property they want and try to print out something and do some experiment with that,application,material;pla
60,mixture of wax and abs,a 3d printing material made from abs and wax combing the advantages of the two materials,material,printing;materials
61,food maker,easy to digest food such as ground meat to make the shape,application,food;print
62,3d print shoes,based on persons foot really create a comfortable and customized shoe,application,food;print
63,3d print food,create complete meals that are 3d printed,application,food;print
64,|print first, sculpture next|,print out a rough shape first and mill off parts by switching tools,function,printer;parts
65,handy 3d printer,print on any surface just by attaching the printer to the surface,function,printer;parts
66,multi nozzles machine,there are multinozzles in one machine to print different parts with different materials at the same time,function,printer;parts
67,structurally strong material,pla that is mixed with carbon nano particles to give it mechanical properties such as more durability,material,material;pla
68,magnetic material,pla that is mixed with iron particles to give it magnetic properties ,material,material;pla
69,conductive material,pla that is mixed with copper particles to give it conductive properties,material,material;pla
70,recyclable material,even if the material has particles we can recycle it with some method,material,material;pla
71,3d printed cakes,used in the decoration of cake toppings,application,3d printed cakes
72,faster printer,printer speed is much faster thn current ones,function,printer;scanner
73,draw on screen to 3d print,just draw on a computer screen and printer prints it no 3d rendering like cad needed,function,printer;scanner
74,portable 3d printer,a portable 3d printer that can be stored in a suitcase when unused,function,printer;scanner
75,3d printed art,can use different media and create much more versatilecreative things,application,fashion;media
76,3d printed commodity products,used in industry to create products uniformly and quickly,application,fashion;media
77,fashion products,create really complicated and customized fashion products,application,fashion;media
78,create buildings ,3d print concretepolymer to create buildingshomes,application,fashion;media
79,milk container,pla can be shinier it is also bio degradable it is also safe to contain food,application,milk container
80,chocolate 3d printer,a 3d printer used to print chocolate used for creating your own chocolate gift,material,printer;parts
