index,Concept Name,Concpet Description,Human Label,Machine Label
1,composite spools,replace the current spools with carbonfibre thread to increase resistance to snappingbreaking,integrity,component;thread
2,drillcap,have drills on the endcaps of the 6bar tensegrity to enable it to climb vertically it will drill onto a rocksoft material to provide a stable grip,locomotion,grip;lights
3,2 shape lattice,rubber lattice shapes that consist of triangle and diamonds to ease assembly and cut down on rubber waste,weight,rods;cables
4,mid mounting,enclosure is mounted to rest of sphere by cables tethered to middle of rods,weight,rods;cables
5,consciousness,robot actively chooses how to navigate,helmet,robot;spider
6,hook,hooks tensile component on rubble and shortens it to pulls self forward and on top of rubble,locomotion,fibers;motors
7,spherical electronics enclosure,electronics are enclosed in a sphere to reduce catching on rodscables during movement,locomotion,fibers;motors
8,drone tensegrity hybrid,robot has ability to lift off and land then operate as a tensegrity when need,locomotion,robot;robo
9,cable guides on bearings,if we use bearings include guides that turn the rods,locomotion,easy assembly
10,rectangular enclosure,enclosure is designed to be as small as possible surrounding only the two control boards and thats it,weight,rectangular enclosure
11,shape memory polymer,the shape memory polymers enable the researchers to finetune how quickly each strut expands by adjusting at which temperature the expansion occurs ,impact toughness,component;thread
12,squeeze,can squeeze two compression rods together to hold onto things,locomotion,rods;cables
13,increased friction on the cables,increased friction on the cables rubber band eg with spikes ,locomotion,rods;cables
14,rod electronics,move electronics to rods in order to suspend the payload in the middle,locomotion,rods;cables
15,squish it!,collaspable rods into a cynlinder shape for ease of transportation space constraints,locomotion,rods;cables
16,elastomer dampening,use a viscoelastic elastomer inside of a spring to act as a dashpot,impact toughness,elastomer dampening
17,legs!,many legs so that at least one catches on the terrain,locomotion,legs!
18,expansion end caps,endcaps that expands like an inverse tripod to provide traction on different terrain,locomotion,legs!
19,robo paint,robot paint enables easy identification of robot during search and rescue operations for example a red colour robot can be easily identified by a victim who can then call for help,secondary function,robot;robo
20,thermal imaging robo,thermal imaging allows the robot to view the heat images of the human being allowing for easy identification,secondary function,robot;robo
21,frog motion,springs within robot that compress and help spring the robot forward when required,locomotion,robot;help
22,pulsating lights,pulsating lights on tensegrity allow for easy identification at the diaster site,secondary function,grip;lights
23,halved enclosure,design enclosure as two identical halves since were using two identical control boards,flexibility,rectangular enclosure
24,motors on a dampening system,attach motors to a dampener to soften direct blows on it to the shaft it is attached on,impact toughness,fibers;motors
25,froggy,projects self off higher rubble or roofs into desired areas,locomotion; planning,froggy
26,suspense,one of the purposes of designing a robust tensegrity robot is to protect the payload its carrying suspend the payload in the middle with springs and dampeners magnetic repulsion,impact toughness,robot;sensors
27,wrap around ,elastic fabric to wrap around device to help protect the components ,secondary function,component;thread
28,kick  stand,add a component that behaves as a kickstand to help with balance,secondary function,component;thread
29,sliding motor mounts,make it easy to moveremove motors by sliding them around,flexibility,fibers;motors
30,removable endcaps,be able to switch out endcaps so we can test materials and springs,flexibility,shapes;materials
31,cover it!,covering the payload and sensitive instruments of the tensegrity using a durable cover,impact toughness,cover it!
32,all in one robot,robots which can traverse in aerial land and sea,locomotion,resistant robots
33,micrott swarm,reduce the size of the tensegrity to a tiny robot capable of working in a swarm these robots can then move around multiple areas to cover more ground in the same timeframe than 1 large tensegrity,flexibility,robots;robot
34,modulagrity,enable modularity of the tensegrity robots to enable it to change sizes by connecting to several other tensegrities robots,flexibility,robots;robot
35,squish!,the robot flattens itself to squeeze through tight areas,flexibility,robot;spider
36,weave!,the robot weaves between objects,flexibility,robot;spider
37,flight!,the robot flies over uneven terrain,locomotion,robot;spider
38,jump!,the robot propels itself over obstacles like a cat,locomotion,robot;spider
39,spider,robot swings on something like spider silk eg into a ditch or over a gap,locomotion,robot;spider
40,hollow rods,use hollow rods cut down on weight,secondary function/locomotion,easy assembly
41,staged springs,progressivly stiffer springs that are tied in series,impact toughness,staged springs
