index,Concept Name,Concpet Description,Human Label,Machine Label
1,vr rail walk,a rail walk to learn the physics of rail ,Adventure,vr;kit
2,mountain hiking,climbing mountains and trying to get to the top,Daily life related,
3,vr science lab,learn basic usage of lab kit,Prep education,vr;kit
4,flying airplanes,learn the airflow and other physical knowledges about airplanes and how they work,Daily life related,environment;molecules
5,telescope view,viewing stars and planets using telescope,Earth science games,
6,roller coaster,build structures of roller coasters and simulate the ride,Constructing game,balls;roller
7,vr industrial visit,visiting industry for educational purpose is not safe to children this app brings the virtual environment of a industry where children can interact and learn using equipments,Simulation,environment;molecules
8,chemical material collecting game,collect many kinds of chemical elements and combine them in the right way to level up,Adventure,game;kids
9,beat the monster with math,throw the balls of which the sum of weights is exactly the hp of the monster to kill it,Fiction games,balls;roller
10,build village,learn how to build a house through playing with vr building blocks,Constructing game,vr;kit
11,vr bridge construction,by constructing bridge in a virtual reality world users can learn about forces momentum and structures,Constructing game,vr;kit
12,physic baseball game,learn basic physics concepts through vr baseball game,Physical sport game,vr;world
13,table tennis vr,a virtual world where users can interact and play table tennis,Physical sport game,vr;world
14,harry potter stick,flying using magical stick used in harry potter,Fiction games,
15,vr chemical lab,chemistry is hard to learn however using this app its much easier user can play around with atoms and create new molecules,Prep education,environment;molecules
16,disaster simulation,learn how to react to emergency such as earthquakes and fire,Prep education,environment;molecules
17,vr breadboard,build fantastic circuits through connecting wires to the breadboard to learn how to use and how it works,Prep education,environment;molecules
18,vr zoo,learn the basic biology knowledge of animals through virtual reality zoo,Adventurous biology games,vr;kit
19,zoo safari vr,take a virtual safari trip into the zoo viewing animals to their natural habitat,Adventurous biology games,vr;kit
20,vr plant,3d structure of a plant to interact and learn about photosynthesis root system and leaf distribution,Adventurous biology games,vr;kit
21,vr pet,keep a pet in vr world,Daily life related,vr;world
22,paper world,folder or cut papers to create items for the vr world,Fiction games,vr;world
23,solve the puzzle to save the princess,set a goal for the game to give kids a target to pursue,Game mechanics and features,game;kids
24,multiplayer mode,every game should have multiplayer mode so that kids can play with friends,Game mechanics and features,game;kids
25,reward system,players can get reward after completion of assigned mission for example they could get the materials they need to build their village for a strategy game,Game mechanics and features,game;kids
26,simple instructions,since our users are kids we need to keep the instructions or any other texts in the game as simple as possible,Game mechanics and features,game;kids
27,vr car driving,a virtual world where users can learn how to drive a car using equipments like steering kit and vr goggles,Simulation,vr;kit
28,space station fleat,view earth and planets from space station,Earth science games,
29,catch the fish,game based on catching fishes in the ocean,Daily life related,balls;roller
30,vr space travel,learn the knowledge of cosmos through the virtual reality space travel higher player level can go to further planet,Earth science games,planet;earth
31,space vr,3d view of the solar system to explore and learn about planets comets stars and satelites,Earth science games,planet;earth
32,into the earth,a journey to the center of the earth to learn geology and earth science ,Earth science games,planet;earth
33,vr cooking,an interactive way of learning cooking with virtual tutorials using vr,Daily life related,vr;kit
34,vr prototype,pick and attach different objects to prototype and test a product helps the users to practical understand concepts,Simulation,vr;world
