index,Concept Name,Concpet Description,Human Label,Machine Label
1,textanator,stretchable wearable on hand for discrete textentry onthego for ar,communication,textanator
2,neonatal infant monitoring system,stretchable electronics for noninvasive neonatalinfantbaby stats monitoring,health monitoring,neonatal infant monitoring system
3,class caller,flexible circuit worn on the forearm with a display when the student raises their hand for a questionanswer in class the flexible displays the students name,wrist tv,display;rope
4,streamdream,arm wearbale to make gaming streams more interactive read out streamer messages and use gestures as hotkeys for emotes ,consuming content,messages;store
5,food freshness monitoring,food freshness monitoring and testing using stretchable sensors,food monitoring,monitoring;sensors
6,conference helper,when meeting people it remembers who they are the context what was discussed and contact info,assistant,conference helper
7,recycling education,stretchable sensors on trash cans which can scan each item and tell user which bin to throw it into,food monitoring,sensors;sensor
8,always be pitching,virtual whiteboard in ar where you can gesture to swap between visuals and use haptic feedback to draw,communication,ar;user
9,car map: ar directions on windshield,use ar principles to display mapsdirections onto windshield of cars people wont have to look down for directions anymore ,ar overlays,car map: ar directions on windshield
10,paintball,records where you were hit and stats ,other,paintball
11,etch a sketch at a stretch,stretchable a4 sheet which you could stretch onto any surface write on it and it would go back to its original size and shape all the writing and sketching on it would be synced up to a drive folder or cloud storage,utility devices,storage;shape
12,stretchable keyboard,keyboard or text entry device that modifies its shape as per the user wants to hold it different areas can be configured for inputs,utility devices,storage;shape
13,have animated tattoos,tattoos can change shape and color for aesthetics,fashion,have animated tattoos
14,fast fashion,clothing that changes shape and color digitally,fashion,have animated tattoos
15,elastomeasure,elastic bands that measure strain,engineering analysis,elastomeasure
16,flexible analyzer,use flexible circuits to analyze loading of structures wirelessly ,engineering analysis,sensors;sensor
17,2d to 3d photos,turn any picture into a 3d hologrpahic video to show the memory captured behind it using ar glasses,ar display,leds;glasses
18,remote health monitoring & ar doctor's appointments,using 2way ar glasses and heart rate sensors to allow doctors to remotely monitor a patient and to save time on inperson appointments through ar appointments which the patient can do at home,health monitoring,ar;sensors
19,road to recovery: tracking of joint movement with ar,using flexible sensors paired with ar recovering surgery patients can tell the exact range of motion of their joint which then can be relayed to the doctor,health,ar;sensors
20,hug ,stretchable sensors in clothing which can control haptic feedback and temperature control to make it feel like youre getting a hug,stretch display,sensors;socks
21,training for musicians,measure hand movement  accuracy,gesture control,training for musicians
22,ziploc bag monitor,display the time since it was last open,health monitoring,bag;cart
23,digital wallet on your arm,stretchable electronics on your arm which store info such as creditdebit card numbers ids etc so that you dont have to carry a wallet,wrist display,messages;store
24,quick scan : grocery line,something related to cutting down grocery store waiting time use ar to scan items or tell what is in the cart,other,bag;cart
25,floor display,coat the floor in a stretchable material that displays info about the users standing on it,networking,display;rope
26,psychic pointer,use emg to know when user pointing with index finger and then use other sensors to know the location of the point if there is a device near the pointed location turn it off and on,gesture control,sensors;sensor
27,flex sign,using emg sensors on the arm differentiate sign language movemnts and translate into voice so you can understand people who can only sign,gesture control,sensors;sensor
28,ar weight lifting coach for proper form,ar headsetglasses which will project the proper form for weight lifting and will allow the user to follow along and replicate the form the coach will be a stick figure superimposed on the user,sports,ar;user
29,sports performance monitoring,stretchable sensors on tennis racquets baseballs basketballs etc to monitor athelete performance and training,sports,monitoring;sensors
30,airtravel passenger comfort monitoring,a smart patch that users can attach anywhere on their body which will monitor for comfort such as tracking for dehydration data will go to a screen that flight attendants can track and provide service accordingly for long haul flights ,health monitoring,patch;sensor
