index,Concept Name,Concpet Description,Human Label,Machine Label
1,breathable cast,similar to a cast but made from a breathable material,rigid brace variations,
2,data tracking brace,communicate activity level brace angle time spent in brace to the doctor patient and parent like a smart watch,treatment communication/ community building,brace;force
3,3d tracking of spine,implanted markers in the spine can be tracked by the brace fit of brace as well as progresion of treatment can therefore be documented,implantable/ surgical intervention ,brace;force
4,two halves of a cast,how might we actuate an existing brace,actuated dynamic brace,brace
5,chair with brace,we put on and take off clothes throughout the day what if you had different braces throughout the day,actuated dynamic brace,brace;body
6,turnbuckle,a turnbuckle is hooked with oneside on upper side and another on lower side it forces the concave curvature to go straight,rigid brace variations ,forces;pads
7,elastic bands,elastic bands with different youngs modulus generate forces of various magnitude,rigid brace variations ,forces;pads
8,foam padded rigid brace,a rigid brace is made by either thermoforming or 3d printing and in the inside there are compressibe foam pads that provide corrective forces at 35 locations,rigid brace variations ,forces;pads
9,shoulder pad,shoulder pad has a ringoshape covering the shoulders upper part of chest and back it is used together with elastic bands for force generation,rigid brace variations ,forces;pads
10,spinal column applying torsion and extension,apply torsion and distraction along a spinal column,actuated dynamic brace,curvature;spine
11,stimulation device,an electrical device that zaps you to periodically stimulate muscle movement in the right direction to provide active forces,,muscle;shaft
12,pneumatico,half bands go around upper mid and lower torso pneumatic pistons push on them to apply loads,,muscle;shaft
13,geared vest,rings go around upper mid and lower torso a geared mechanism is attached to the rings as the gear is rotated it pushes or pulls on the bands,,muscle;shaft
14,stretch machine,the robotic machine provides the same twisting and stretching done during the manipulation of the spine during edf casting much lower forces can be used and the patient can stretch once a day for an hour,external treatment device,muscle;shaft
15,bed with rollers,this is a bed that applies loads overnight 3 foam rollers attached to lead screws to adjust force get pushed up against the child as they sleep on their back,external treatment device,muscle;shaft
16,pulleys along muscle direction. batons. tensegrity.,cloth with anchor points wind surfing sail anchor points,external treatment device,muscle;shaft
17,motor,motor generates power and then applies corrective force,rigid brace variations ,force;air
18,fixed pelvic griddle,fixed gridle sits on patients pelvic combined with other components for derotation force,rigid brace variations ,force;air
19,tensegrity,tensile elements outside curve stiff elements inside curve pivots about a center point,modular brace w/ multiple components,curve;motion
20,vest like brace,the vest covers shoulders of patients making it easier for brace to stay in correct position,correct position guarantee,brace;body
21,bodysuit,the brace is designed like a bodysuitconstraints come from upper and lower part of the body and help guarantee the correct position,correct position guarantee,brace;body
22,beds with air pads,bed equipped with air pads on both sides slightly inflated the pads to ensure kid sleep in the suitable position gentally increase the inflation degree when kids are asleep for larger corrective force,external treatment device,force;air
23,air pads,air pads apply larger force when theyre inflated,external treatment device,force;air
24,brace invisalign,510 rigid braces are generated each to be worn for 23 months braces can be slowly printed and slowly provide correction over time similar to how dental invisalign works a body scan of the patient would be used as a first step to generating the braces,rigid brace variations ,brace;force
25,tension cables,tension cables strengthen the brace with forces along its direction,rigid brace variations ,brace;force
26,traction rod,separate the brace into upperlower part link two parts with a rod on the back to generate traction force,rigid brace variations ,brace;force
27,elastic compliant brace,deformable to allow extreme movements and strength building avoid atrophy provide resistive force 85 of the time,rigid brace variations ,brace;force
28,porthole for cleaning rigid brace,brace does not have to be solid in all places portholes can allow cleaning access,rigid brace variations ,brace;force
29,soft band,soft bands are designed with various length and theyre adjustable it allows patients to have the maximum mobility,modular brace w/ multiple components,muscle;shaft
30,flexible straps,straps are flexible to adjust the lengh and therefore strength loose the strap every a few months to leave space for muscle growth,modular brace w/ multiple components,muscle;shaft
31,spring suit,two half bands go around upper and lower torso spring loaded mechanism with pad at output applies loads at necessary points,modular brace w/ multiple components,muscle;shaft
32,cloud,data coming from sensors are tranferred to cloud for storage and monitoring,treatment communication/ community building,curvature;spine
33,pediatric scoliosis module,physician education program to teach pediatricians how best to detect scoliosis and to support families of children with eos,treatment communication/ community building,curvature;spine
34,scoliosis support group,part of what makes eos so difficult to manage is a lack of resources a support group would enable parents to share experiences  tips  info,treatment communication/ community building,curvature;spine
35,scoliosis software,software developed to help doctors and parents better monitor the force applied,treatment communication/ community building,force;air
36,gravity bed,child sleeps on a bed tilted at a slight angle a couple weights are attached to child and hang off the bed providing corrective forces overnight,external treatment device,forces;pads
37,wheelchair with bands,child sits in a wheelchair with 3 elastic bands that wrap around them to provide necessary forces,external treatment device,forces;pads
38,padded wheelchair,child sits in a wheelchair and 3 pads come in driven by lead screws to provide necessary forces,external treatment device,forces;pads
39,craddle,the chile get puts asleep in a craddle when the craddle rocks weights get released to provide corective forces this can cycle throughout the night,external treatment device,forces;pads
40,bed with stretch bands,patient lies in bed with 3 stretch bands that wrap around them as they sleep tension from the bands apply forces pads should be placed where contact is made with the body,external treatment device,forces;pads
41,scoliosis swing,a novel way to put pressure on the spine the childs harness for the swing is made specifically to put pressure on the spine when swinging motion occurs otherwise used the same way as a baby swing,external treatment device,forces;pads
42,scoliosis play group,children with scoliosis are often limited in their mobility due to casting or other treatments enabling children to play with other kids like them would help them to not feel left out becaues of their condition,treatment communication/ community building,muscle;shaft
43,pressure sensors,sensors attached to inner surface of the brace which could detect pressure temperature and force,actuated dynamic brace,brace;force
44,pressure sensor sheet,use pressure sensor sheets to adjust a brace manually keep constant pressure ,actuated dynamic brace,brace;force
45,smartbrace,brace only applies force when necessary brace can detect when spinal curvature needs to be improved and applies appropriate pressure,actuated dynamic brace,brace;force
46,dynamic elastic brace,intended to prevent young children from casting this brace would provide pressure on the spine only when necessary by utilizing force sensors ,actuated dynamic brace,brace;force
47,spring ,when kids are inside the brace the brace expands which makes springs elongate and apply traction force,actuated dynamic brace,brace;force
48,air brace w  force sensors,when the force sensors detect that there is too much force in once area due to spinal curvature they inflate the appropriate air pads on the brace,actuated dynamic brace,brace;force
49,magnetic brace,magnets on either side of the brace inserted in pockets in vest create force on spine to straighten curvature,actuated dynamic brace,brace;force
50,dynamic ratcheting brace,brace senses when force needs to be applied and tells you when you can take it off data sent to the cloud and recieved via bluetooth to mobile device,actuated dynamic brace,brace;force
