index,Concept Name,Concpet Description,Human Label,Machine Label
1,brace invisalign,510 rigid braces are generated each to be worn for 23 months braces can be slowly printed and slowly provide correction over time similar to how dental invisalign works a body scan of the patient would be used as a first step to generating the braces,Rigid Brace Variations (SECURESPINE),brace;force
2,tension cables,tension cables strengthen the brace with forces along its direction,Rigid Brace Variations (SECURESPINE),brace;force
3,traction rod,separate the brace into upperlower part link two parts with a rod on the back to generate traction force,Rigid Brace Variations (SECURESPINE),brace;force
4,elastic compliant brace,deformable to allow extreme movements and strength building avoid atrophy provide resistive force 85 of the time,Rigid Brace Variations (SECURESPINE),brace;force
5,porthole for cleaning rigid brace,brace does not have to be solid in all places portholes can allow cleaning access,Rigid Brace Variations (SECURESPINE),brace;force
6,exo skeleton back ,exo skeleton back brace with bolt positions for custom brace sections,Rigid Brace Variations (SECURESPINE),brace;force
7,vest like brace,the vest covers shoulders of patients making it easier for brace to stay in correct position,|Correct Position Guarantee(ADJUST YOU MUST)|,brace;force
8,bodysuit,the brace is designed like a bodysuitconstraints come from upper and lower part of the body and help guarantee the correct position,|Correct Position Guarantee(ADJUST YOU MUST)|,brace;force
9,scoliosis software,software developed to help doctors and parents better monitor the force applied,|Treatment Communication/ Community Building(BACKBONE OF SOCIETY)|,forces;force
10,magnetobelt,a magnet is implanted at the area of curvature and an external belt with a magnet can be warn to pull spine in correct direction,Implantable/ Surgical Intervention (SURGISPINE SOLUTIONS),muscle;loads
11,muscle stimulation,avoid atrophy apply a load to user with their own muscle,Implantable/ Surgical Intervention (SURGISPINE SOLUTIONS),muscle;loads
12,backpack,the parent straps on a backpack and the child goes in it sideways small weights are attached to the kid to provide corrective forces needs to get worn once a day,,forces;force
13,spinal anchoring,anchor spine above and below curvature so that when the child grows the curvature doesnt worsten ,|Implantable/ Surgical Intervention (SURGISPINE SOLUTIONS)|,muscle;loads
14,spinoscope,an implantable spinal gyroscope is implanted at the points of curvature on the spine to detect when the angle is greater than an acceptable spinal angle,|Implantable/ Surgical Intervention (SURGISPINE SOLUTIONS)|,muscle;loads
15,modular brace,the brace are made of modular parts which are designed to match various body size,|Modular Brace w/ Multiple Components(MODBRACE: MODULAR; MODIFIABLE; MODERN)|,brace;force
