index,Concept Name,Concpet Description,Human Label,Machine Label
1,modular interior design,the interior allows flexibility of uses to meet the expectations of a variety of users includes trap on the floor to open a table moveable chairs option to open or cover windows coffeetea box kids bo,Use Cases,
2,cav fleet,a fleet of cavs that users pay to have ondemand access to,Basic concept,cav;benefits
3,frequent rider benefit program ,airlines have frequent flier programs and benefits we can apply this model to cav ridesharing,Basic concept,cav;benefits
4,redefine car shape,redifine the car shape by focusing on the function,New Vehicle Shapes/Forms,car;seats
5,vr amusement,an amusement car with vr glasses connected to bluetooth can make augmented reality experiences based on street views from the moving car,Kids,experiences;reality
6,adaptive capacity and group dropoffs,workers should be distributed throught the city in a timely manner cars will have the same speed and self driving vansbuses will increase the load during peak hours no individually dropoffs because that lowers efficiency,Commute / peak management,accidents;hours
7,road escalators,have roads moving instead of cars so we can have everyone go at the same speed,Infrastructure planning,buses;roads
8,road escalators,have roads moving instead of cars so we can have everyone go at the same speed  ,Infrastructure planning,buses;roads
9,traffic jam assist,driving assist feature to drive the car in intense traffic situation to relieve the mental stress of the driver,Transition to Automated Vehicles,car;seats
10,cav   ridesharing fusion,incorporate cav into uber lyft and other similar platforms this will bring cavs online and kickstart mainstream usage,Basic concept,cav;vans
11,world experience,get immersed into a different culture for a ride can make partnership with different tourism boards,Use Cases,ride;riders
12,just for you,completely personalize your riding experience to boost your good energy and vibes,Use Cases,ride;riders
13,rotating chairs,car seats that can turn around and face each other to facilitate meetings,Interior Design,car;seats
14,traffic lights,car can communicate the traffic lights by itself,Infrastructure planning,car;seats
15,cav interior design,without a driver in fully autonomous cars the interior of the car can be completely redesigned lots of opportunities,Interior Design,car;cars
16,workpro: professional working table for business people,autonomous vehicle can drive to the destination itself so we change the interior design of the car to include a professional office space,Interior Design,car;cars
17,battery help!,emergency battery use in highway,Infrastructure planning,battery;pickup
18,fair business model,transportation costs should not burden those who live further away membership instead of per ride model for remote communities,Pricing & Cost,vehicle;ride
19,innovation tire,the tire itself can detect the temp and lanscape by attathced a sensor on the surface,Interior Desgn ,battery;pickup
20,grocery store at home,saving time after work to directly go cook dinner at your home thanks a digital grocery store delivering the ingredients you need at your place during low hours on the road ,Use Cases,
21,moving silent disco,set up cav vans at music festivals to transport festival goers reconfigure the inside space as a silent disco ,Use Cases,
22,virtual reality trip,displays different vr experiences on windows to emulate a trip in another terrain or planet,Use Cases,experiences;reality
23,cav van carpools,high volume cav carpools between popular destinations eg downtown to sfo,Commute / peak management,cav;vans
24,private cav rentals,private cav owners can lease out their vehicles when they are not in use so that they have a stream of revenue coming in,Pricing & Cost,cav;benefits
25,cav insurance write off program,increase incentve to purchase cavs due to the improved safety on the road,Pricing & Cost,cav;benefits
26,school self driving bus,provide automated school buses for kids in a neighborhood avoid the congestion for dropoff and pickup time at schools,Kids,battery;pickup
27,tv re arrangement,ppl can lay down inside the car and watch tv in forint of them,Interior Desgn ,car;ride
28,karaoke car,have an onboard karaoke system,Use Cases,car;sleep
29,planetarium,have the roof of the car completely transparent on clear starry nights for a mesmerizing experience,Use Cases,car;sleep
