index,Concept Name,Concpet Description,Human Label,Machine Label
1,feedback gloves,these gloves warn you immedietly when there is an issue with your gloves or with your spacesuit,casin things,gloves
2,drilling gloves,edge based blove that helps with escavating operations when you need to dig a lot,intersurfaces,
3,force sensors gloves,crew members interact with computer system using gesture and voice control the user wear a glove with sensor which allows them to control an application running on a linked computer,Can you Feel it?,
4,thermal control,the inside of the glove is thermally controlled maybe with a thin film of water ,Hot Stuff,
5,mother gloves,these gloves help to detect your stress level they talk to you for emotional support,Enhance comfort,gloves;rubber
6,name engraved gloves,physical application that lets others know which gloves are yours,casin things,
7,clip gloves,gloves has caribeerer clips to let you grab things without risk of dropping them,casin things,
8,talon gloves,birdlike talon inspired gloves these help for picking up smaller items ruberized tensor modules with beads that help constrict and enable assistance ,Better than the Iphone,gloves;rubber
9,wrist lock,air tight lock between glove and sleeve of suit,lock N load,
10,wiring,this concept is to connect glove wires to the rest of the suit seemlessly,would you look at that,
11,clean wrao gloves,glove has a pocket to store plastic glove wrap to use for sterile purposes,There's an app for that,gloves;glove
12,massage gloves 2.0,massage with some important acupuncture point in traditional chinese medicine,Enhance comfort,gloves;caffeine
13,caffeine gloves,these gloves are intended to give you the life of caffeinin during long work hours,Enhance comfort,gloves;caffeine
14,radio gloves,the feature of these gloves include a wrist watch that helps control the music you listen to in space,Enhance comfort,gloves;caffeine
15,radiation protecting gloves,mars contains lots of uncertain radiations our gloves can protect astranauts hand from radiation when they conduct scientic research,material,gloves;mars
16,good breathability of gloves,when hands put in gloves in a long time inaccurate humidity might make hand in some diseases due of bad breathability of hand so keep hand in a good comfortability is important,material,
17,rogue hands,reinforced composite layers use of fiber materials to help with use cases integrated battery for longer use ,Iron Man Glove,
18,good tactile sensation in gloves,keep the good tactile sensation of the hand can feel outside environment temperature pressure and other factors making astronaut good at scienticfic research in mars,Better than the iphone,gloves;mars
19,sos gloves,in the terrible case you get stranded the gloves emit radio frequencies for home base,Safety,
20,glove variety,each glove should be custom made to fit a users specific need for instance and analytic would have thinner gloves than a geologist,Grip,gloves;glove
21,pressure controlled gloves,gloves in mars suit should protect astronauts hand in entertainment with an accurate pressure gloves would contact with torso and keep same pressure as torso,Would you look at that,gloves;mars
22,sticky grip,palms and fingers of gloved are lined with a grippy surface to make grabbing things easier,Got it?,fingers
23,arm screen,flexible display on arm for spave tv,intersurfaces With/Into,
24,waste heat energy,waste heat from snit assd to generate a turbine,Energy Basic,
25,water line in gloves,gloves has a water spiggot in it,Clean Things,
26,thermal sensing glove,basic glove race car drivers with thermal sensors on palm and fingers,Sensor,
27,layered glove,glove is layered with a thin bladder protective layer pressurized layer each layer is removable,Got it,
28,clean your hand gloves,clean your hand in the gloves by high frequency vibrating and beauty product,Clean Things,
