index,Concept Name,Concpet Description,Human Label,Machine Label
1,workout music,based on sensors change pace and intensity of music,audio,sensors;sensor
2,emotional music,based on sensors change sound profile and intensity of music,audio,sensors;sensor
3,emotigram,capture emotions through social media platform autogenerate custom ar filters based on emotional state,ar overlays,sensors;sensor
4,augmented jersey,when seen through ar it displays custom elements set by the user eg fantasy sports trophies,ar overlays,sensors;sensor
5,car map: ar directions on windshield,use ar principles to display mapsdirections onto windshield of cars people wont have to look down for directions anymore ,ar overlays,sensors;sensor
6,pharm count: ar headset counters for pharmacies,ar used in pharmacies to prevent countring and incorrect identification errors using computer vision headset displays the pill being counted and current count ,ar overlays,sensors;sensor
7,digital wallet on your arm,stretchable electronics on your arm which store info such as creditdebit card numbers ids etc so that you dont have to carry a wallet,wrist display,sensors;sensor
8,paintball,records where you were hit and stats ,other,paintball
9,stretchable display on glasses,head mounted ar headsets are big expensive and mostly wired a stretchable display can stick to a users glass lens to convert them into ar glasses,ar display,glasses;clothing
10,ar for group work,ar glasses which can help make group work easier by pulling up and siplaying everyones schedule for open time and helping in feeling of being in a group even while working alone,ar display,glasses;clothing
11,textanator,stretchable wearable on hand for discrete textentry onthego for ar,communication,textanator
12,led tattoos,tattoos which can be lit up using different colored leds need not be permanent tattoos,fashion,sensors;sensor
13,zapp,stretchable technology that warns you if you havent submitted your homeworkassignment,wrist display,zapp
14,personal energy guru,an interactive arm display that shows current energy level and what to do about it ,monitoring,display;rope
15,smart bandaids,tell user when to replace and if the cutinjury is healing,health monitoring,smart bandaids
16,earflix,the ultimate audio  sensory expereience with favorite show audio profile personalized  vibrations depending on scene,consuming content,sensors;sensor
17,huh that's interesting' assistant,detects when user is relacxed  not busy to prompt w intersting  relevant articles to read,assistant,sensors;sensor
18,vibe mic,use vibrational flexbile sensor on neck to push audio to phones and other devices no longer have to hold phone up to face,audio,sensors;sensor
19,flexi headphones,use flexible sensors and circuits to create bone conduction headphones that are invisible on the side of your head,audio,sensors;sensor
20,conference helper,when meeting people it remembers who they are the context what was discussed and contact info,assistant,info;information
21,smart post it notes,the information written is automatically captured and recorded on a spreadsheet somewhere,utility devices,info;information
22,flexible analyzer,use flexible circuits to analyze loading of structures wirelessly ,engineering analysis,sensors;sensor
23,ez assembly,ar instructions on ikea parts or construction,engineering analysis,sensors;sensor
24,handshakar,shake peoples hands with the stretchable electronic to exchange contact info,networking,hands;hand
25,food freshness monitoring,food freshness monitoring and testing using stretchable sensors,food monitoring,sensors;sensor
26,fish cluster identification,stretchable sensor put on a fish to track and detect clusters for fishing,food monitoring,sensors;sensor
27,stretchable tech for agriculture,sensors on plants vegetable leaves to track plant stats,food monitoring,sensors;sensor
28,sugar sense: sensor based blood sugar monitor,wearableflexible electronic patch that senses blood sugar and blood pressure levels for diabetic patients without finger pricks,health,sensors;sensor
29,on wrist battery charging for wearables,a stretchable battery which will stick to your wrist and can charge a wearable such as an apple watch or a fitbit its like an additional battery pack,utility devices,sensors;sensor
30,etch a sketch at a stretch,stretchable a4 sheet which you could stretch onto any surface write on it and it would go back to its original size and shape all the writing and sketching on it would be synced up to a drive folder or cloud storage,utility devices,sensors;sensor
31,stretchable keyboard,keyboard or text entry device that modifies its shape as per the user wants to hold it different areas can be configured for inputs,utility devices,sensors;sensor
