index,Concept Name,Concpet Description,Human Label,Machine Label
1,friendly interaction with pedestrains ,when the av stops at a cross or stop sign it should brake previously so the pedestrain would not be threatened,Safety,vehicle;passengers
2,pedestrain indicator,cars can recieve the cell phone signals from pedestrains who are about to cross the road and slow down accordingly,Safety,vehicle;passengers
3,gps; lidar and camera fusion,safety is one of the biggest concerns from potential users gps lidar and camera fusion enable the av to jave more accirate localization and positiong which enhances users safety,Safety,vehicle;passengers
4,night vision,the windshield is able to increase the outside brightness via image processing ,Safety,vehicle;passengers
5,work mode,av will reduce light from outside and turn on inside light the hmi would change from voice to screen message the users can focys on work,Comfort and Convenience,user;users
6,mobile dining ,users can order this service and the restaurant will send this av loaded with food the users ordered can drive to users preferable location,Comfort and Convenience,user;users
7,top entertainment system ,the av should have top entertainment system and give user the best travel experience all the windows can be screen,Comfort and Convenience,user;users
8,flexible seats,since the user do not need to drive the seats should be able to turn and slide flexibly,Comfort and Convenience,user;users
9,moving gym,av provides gym facilities inside for users,Comfort and Convenience,user;users
10,dj instrument in av,club decoration inside users can sing and dance in it,Comfort and Convenience,user;users
11,hidden baby holder,the seat can be made to have extensions to hold a baby the extensions will come out only with a toggle of a switch,Comfort and Convenience,user;users
12,plane pilot simulation,with ar and plane instrument users can experience plane pilot simulation,Comfort and Convenience,user;users
13,3d projected hologram,a personal assistent will be projected with 3d hologram user will be able to interact with a human look ai,User Interface,user;users
14,alcohol reading for manual driving,the car will read the alcohol level of the driver if the driver wants to switch to manual mode,Safety,car;user
15,pedestrians identification,the car can identify pedestrians using sensors and lidar,Safety,car;user
16,identification system for cars and pedestrians,the car can detect and identify carrs motor bike and pedestrains,Safety,car;user
17,floating on water,the car can float on warter instead of sink in to the water,Safety,car;user
18,traffic rules monitor,the car can detect and identify traffic signs and signals to avoid violate traffic rules,Safety,car;user
19,passenger monitor ,if a certain passenger has a heart attack or something like this the car can report and call 911,Safety,car;user
20,user owner face recognition,the car can identify the user by using face recognition based on stored pictures not limited to 1 person,Safety,car;user
21,slippery warning,the car can calculates how bad and frequent the car has minislip in the rain or snow then the car wanrs the driver to slow down or stop for a while,Safety,car;user
22,charging facilities connection,the car knows the location for every charging facilities it will warn the user if the destination does not have any charging facilities nearby that reachable with the remaining fuel,Safety,car;user
23,self diagnosed,the car diagnosed itself on daily basis if something wrong is detected the car warns the user through the phone to check some specific parts of the car,Safety,car;user
24,speed limit enforcer,the car collects data of speed limit in every possible road and adjust the autodriving to follow the speed limit,Safety,car;user
25,intelligence report,the car can report emergency automatically,Safety,car;user
26,anti theft system,the car will autonomatically send the location to the police department if it got broken into,Safety,car;user
27,outside airbag,there are airbags on the outside of the car to protect the car from collision,Safety,car;user
28,road condition identification ,when meeting bad road conditions the car can avoid it automatically,Safety,car;user
29,porpuse light signal,the car should use signal light on the car to indicate its purpose,Safety,car;user
30,outside airbag,the car has airbag outside of it when the car crush pedestrians teh airbag can protect pedestrians,Safety,car;user
31,affordable car,an autonomous vehicle should be affordable for ordinary people,Affordability ,car;user
32,user friendly ,the ui should be easy and friendly for ordinary people especially for children elder people and disabilities,User Interface,
33,manual driving option ,the car can change to manual riving mode according to the drivers command,User Interface,car;user
34,surrounding screen dome,the car turns the inside surrounding into screen which becomes similar to vr,User Interface,car;user
35,location shared app,the car has an app that can share its location most like uber but more personal for example sharing it to family members you want to pick up somewhere,User Interface,car;user
36,tutorial system,the car provides interactive tutorial system on every possible features,User Interface,car;user
37,favorite place markings,the car can record the marked favorite places like work retaurants uncles house etc,User Interface,car;user
38,voice prompt system ,when meeting pedestrians it can report the trend of the car by voice prompt,User Interface,car;user
39,the talking car,a signboard  a speaker system to communicate to pedestrians and other cars,User Interface,car;user
40,lego car,this car is easy for users to assemble also it is easy to upgrade parts by having standarized parts,User Interface,car;user
41,travel history,the car records the whole trip including the traffic condition it will compare it to the estimated duration and choose alternate route if the route is more efficient,User Interface,vehicle;passengers
42,manual override function ,in case of autodriving malfunction the user is able to manually override the function and engage indriving,User Interface,vehicle;passengers
43,ar & autonomous vehicles,the augmented reality can show the chosen path of an autonomous vehicle helping the other interact with it,User Interface,vehicle;passengers
44,voice human machine interaction,autonomous vehicle driver can use voice to iteract with av and send command to av,User Interface,vehicle;passengers
45,smart navigation system,a smart navigation system for autonomous cars to keep users engaged  informed,User Interface,vehicle;passengers
46,ar windshield,the windshield with ar function enables the passengers to explore a world beyound reality,User Interface,vehicle;passengers
47,vr,the passengers will wear wear vr sets to experience an immersive riding thrill,User Interface,vehicle;passengers
