index,Concept Name,Concpet Description,Human Label,Machine Label
1,the pincer,three rounded horns with spikes for grip like horns of a beatle,,grip;texture
2,ibike,a myoelectric prosthetic hand designed for biking,Gone Ridin',hand
3,thumb gripper,additional thumb for holding bike,,thumb;finger
4,arm gripper,arm grip with suction cups for holding books or things with flat surfaces,,thumb;finger
5,bending linkage,a linkage design that allows finger to bend by pulling the string,Control,bindings;linkage
6,2 piece clamp,2 fingers are mounted where the missing index to pinky finger are these close when the thumb squeezes to create a claw,The Claw,finger;fingers
7,ibike myo signal processing,using myo armbands myoelectric sensors and using the frequency range for brach radi muscle on the forarm one can use the median power frequency of the power spectrum to classify light break vs tight break,Gone Ridin',sensors;heat
8,gripper,actuates like regular grippers,The Claw,
9,drum roll,specific prosthetic for holding drumstick,,clamp;drum
10,monkey bar thumb design,have the thumb actuated based on myoelectric signal from forarm muscle flexsion,Control,brake;wrist
11,octahand luck,have a lever on the back of hand to pressuring in the octapus suction cups on the palm side to lock in an object,,hand;fingers
12,robotic fingers,roboticlike fingers that has a sensor in the middle to control the gripping,Grippers,wrist;fingers
13,spring loaded clamp,mechanism to actuate a normally closed spring with other hand,The Claw,hand;clamp
14,atomic lab's hand thumb re design,the current design of the thumb has its edge in contact when holding a cylindrical object rotate 45 degree to a 90 degree edge connection to have the whole side of thumb in contact also make it 100 mm taller with pointier tip,Finger Designs,hand;fingers
15,bike fingers,fuse the last joint of the fingers such that there are two joins instead of three on the hand,Finger Designs,hand;fingers
16,internal wiring,have the fishing lines or electric wires run in the fingers design space and hooks inside the digits and palm of the hand for lines and wirings ,Finger Designs,hand;fingers
17,auto hold hand,a proximity sensor is implanted in palm to automatically control the gripping motion,Control,hand;clamp
18,alex's claw hand,have pins to lock the claw hand in open position the pins can be located at the hands forarm where the joint is,The Claw,hand;fingers
19,light grip for claw hand,use adjustable springs to limit the force on soft objects,The Claw,hand;fingers
20,finger lock,a rotational lock for finger attachment,Joints,fingers;finger
21,imonkey bar,c shabe composite metal that is attached at the wrist to l shaped velcro wrist srap the short end of l will flip over and lock the strap in place ,iMonkeyBar,wrist;fingers
22,imonkey bar cushion love,have gel cushion at the wrist such that it would dampen the force on the wrist ,iMonkeyBar,wrist;fingers
23,sing fing,single finger replacement for patients with most of a hand,,finger;hand
24,double reaper,like the reaper but with a second scythe on the other side,,
25,monkey bar hand joint,have the hand have only one joint where the hand is in l shape and the tip of it has a digit made with flexible pla also make the corner fater to take more tension ,Finger Designs,
26,the strapper,straps shut against object with a buckle similar to snow board bindings,,bindings;linkage
27,itouch,pressure sensors at tip of fingers as input and vibrator as output placed on wrist in order of the fingers,Finger Designs,wrist;fingers
28,the gripper,passive gripper hand for holding high weights and cylindrical objects,,
29,adjustable angle mount blocks,blocks can be used to change mounting angle of finger,Mount,finger;fingers
30,ball joint angle mount,finger can rotate based on what you need to pick up,Mount,finger;fingers
31,watch mount,a combination of prostheses and watch,Harness,
32,favorite color,let the user have the option to choose any pla color available for the various parts of their hand,Other,hand;interface
33,brain computer interface,open and close hand using hand motor imagery ,Other,hand;interface
34,hand stickers,design popular stickers for the hand and let the children choose their favorite stickers to put on,Other,hand;interface
35,imonkey bar c metal part,we want the composite matterial to be light and hold 100 lb before breaking,iMonkeyBar,
36,wrist assist,allows you to hold handlebars when steering leaving wrist free to break,Gone Ridin',bindings;linkage
37,3 jonts fingers,3 joints finger that built with flexible material,Finger Designs,finger;fingers
38,tapping finger,a stopping system on each join of finger to prevent fingers from bending in the opposite direction,Finger Designs,finger;fingers
39,elastic finger,finger harness that covers around a flexible soild 3d printed finger so that the finger can return to its original position when the string is released without an external componect,Finger Designs,finger;fingers
40,radial finger,3 webbed fingers that can expand into wider surface area,Finger Designs,finger;fingers
41,extendable finger,an extra section of finger placed inside the 3rd finger section that can be extended when needing for finer and sharper tips,Finger Designs,finger;fingers
42,snake finger,joint system allowing multiple axes of actuation,Finger Designs,finger;fingers
43,webbed finger,webbed fingers actuate when triggered by thumb prevents slipping through fingers,Finger Designs,finger;fingers
44,wiggle finger,locks open or close when sharply moved,Finger Designs,finger;fingers
45,page turner,finger with small textured area to help with friction at tip of finger,Finger Designs,finger;fingers
46,cosmetic  attachment,realistic hand attachment that closes when actuated by thumb movmenet,Niche,
47,ihero,have marvel hero designs available for each child to chose and apply the design to the hands,Other,
48,handle bar holding,a ring with a seat for the bike handle bar that would allow for control over steering when moving wrist to actuate brake,Gone Ridin',brake;wrist
49,brake extension,small attachment that extends bike brake to thumb for easier actuation,Gone Ridin',brake;wrist
50,brake hooker,very simple design to hook over brake on bike and allow for pulling brake while also steering,Gone Ridin',brake;wrist
51,2 positions finger,2 servos to control a finger moving in 2 directions,Control,finger;fingers
52,heat molded harness,use heat set foam to mold harness for hand,Niche,hand;clamp
53,ball joint,ball shape joint that allows the finger to rotate in 360 degrees,Joints,finger;fingers
54,screw joint,joint of finger that can be removed and attach by screwing in and out,Joints,finger;fingers
55,twist joint,joint that locks the finger by twisting,Joints,finger;fingers
56,paddle shaped finger tip,spring loaded wide finger tip helps grip particular shapes,Finger Designs,grip;texture
57,igrip,stretchable silicon to gover finger tips with mini spherical texture to increase surface area will provide better grip,Finger Designs,grip;texture
58,finger of fingers,a finger that can split into two finger at tip of the finger,Finger Designs,fingers;finger
59,dual spring clamp,strong gripper for holding things for long periods of time,The Claw,clamp;drum
60,robo wrist,robotic arm to help with daily tasks,,wrist;fingers
61,octohand ,fingers with octopus like suction cups,,wrist;fingers
62,the mit,hand specifically designed to hold a baseball sized ball,Niche,hand
63,open handed harness,a customizable harness that does not cover the entire hand and tied around the wrist,Harness,hand;fingers
64,itouch bci,get the arduino output from the pressure sensors and send it as input to tdac device to stimulate the brains somatosensory region for hand,Other,device;input
65,transcranial direct current stimulator,design a tdac device with fuse to deliver 02ma current to stimulate the brain,Other,device;input
66,tri fing,modular attachment for short or non existant fingers,,fingers;finger
67,finger of finger fingers,fingers within fingers within fingers,,fingers;finger
68,zoidburg clamp,strong  three pronged gripper actuated with other hand,,hand;clamp
69,octopus finger,sucking discs on finger tips for holding objects,Finger Designs,thumb;finger
70,the clamper,for fine pinching needs this gear actuated prosthetic is your best friend for small pinches and tieing shoelaces,,brake;wrist
71,viper,wrist actuated gripper,,brake;wrist
72,thumb break,rotational brake to be actuated by thumb,,brake;wrist
73,itouch bci program,write a program on arduino to translate input signal from pressure sensors into currents from 02 ma,Other,sensors;heat
74,cooling harness,a mini fan implanted in harness to dissipate heat,Harness,sensors;heat
75,servo box,a handshape box that sits on top of hand for both servo mounting and finger attachment,Harness,finger;hand
76,single joint hand,hook hand with single joint possibly for monkey bars,iMonkeyBar,hand;fingers
77,bar gripper,a monkey bar gripper that automatically closed due to springs and is safety button on side where is thumb is for releasing the grips,iMonkeyBar,hook;button
78,1 piece clamp,one solid piece connects where typical fingers would be this allows for strong pinching between thumb and piece,The Claw,wrist;fingers
79,gravity actuated finger,gravity pulls weight down that closes grip,Finger Designs,brake;wrist
80,the reaper,single thin hook with a scycle shape,,hook;button
