index,Concept Name,Concpet Description,Human Label,Machine Label
1,3d printed art,can use different media and create much more versatilecreative things,application,print;products
2,3d printed commodity products,used in industry to create products uniformly and quickly,application,print;products
3,food maker,easy to digest food such as ground meat to make the shape,application,print;products
4,fashion products,create really complicated and customized fashion products,application,print;products
5,3d print shoes,based on persons foot really create a comfortable and customized shoe,application,print;products
6,3d print food,create complete meals that are 3d printed,application,print;products
7,create buildings ,3d print concretepolymer to create buildingshomes,application,print;products
8,3d organ bioprinting,can build structures with cells or hydrogels,application,printing;printer
9,3d printed circuits,circuits that are printed in any shape and dont need extra material,application,printing;printer
10,metal 3d printing,creating structures freeform using metal,application,printing;printer
11,3d printing prototype models,used to quickly prototype of ideate models to present,application,printing;printer
12,3d structures,can build structures in any shapesize and the material would be strong enough to hold it,application,printing;printer
13,3d printed house,customized printing of concrete blocks and onsite stacking and assembly by a 3d printing like machine,application,printing;printer
14,3d printing consulting,a consulting service for helping customers select 3d printing technics and materials based on their needs,application,printing;printer
15,reverse engineering,3d printer with camera scanner a allinone machine used for reverse engineering,application,printing;printer
16,3d mending,3d printing done on existing objects to fix or change the shape of the objects,application,printing;printer
17,suurgery prototyping,pla 3d printing can be used to do prototyping in surgery so the doctor can see whats the best plan for the patient,application,printing;printer
18,3d printing furniture,3d printing furniture can deal with complex parts and it is biodegradable,application,printing;printer
19,embedded optical elements,pla can have electronic property by combining with other materialslike graphene or metals this chip can be directly embedded in mechanical structure,application,printing;printer
20,airfoil and propeller,pla combine with other material can enhance its mechanical property so it can print airfoil and propeller,application,printing;printer
21,brushless motor model,pla can be magnetic by adding other material this brushless motor would not hurt your fingers during operation ,application,printing;printer
22,fluidic device,pla can 3d printing fluidic devices because usually they conatins complex parts,application,printing;printer
23,milk container,pla can be shinier it is also bio degradable it is also safe to contain food,application,printing;printer
24,uav parts,pla is light so it is good for 3d printing uav parts besides you can customize your parts,application,printing;printer
25,phone case,pla is soft  therefore it is a good material to do phone cases also you can customize your own case,application,printing;printer
26,decice holder during shipping,device holder during shipping usually comes with complex parts 3d printing can handle that also pla is soft but have enough mechanial property to protect the device it is also biodegradable,application,printing;printer
27,multi material printing,able to print more than 1 kind of material in one job,application,printing;printer
28,cable printer,extend existed cable length if needed,application,printing;printer
29,maintenance part,can print out easy maintenance part for bikes or other simple mechanical parts,application,printing;printer
30,sewing machine ,with multiple heads that can move 3 dimensions it ccan become a sewing machine,application,printing;printer
31,molecule 3d printer,create molecules by ejecting one atom at a time,application,printing;printer
32,sealant or protective coating,can use printer to create a protective coating over odd shapes ,application,printing;printer
33,packaging,can use printer to create packaging for odd shaped objects,application,printing;printer
34,3d printed 3d printer,a project that allows user to print out parts and assemble a new 3d printer,application,printing;printer
35,welding 3d printer,use stick welding as a printing method ,application,printing;printer
36,3d printed cakes,used in the decoration of cake toppings,application,printing;printer
37,laptop case,laptop case always wastes a lot of material but 3d printing dont need to weld therefore it can save more material,application,printing;printer
38,3d printing hair,for now most fake hair are from real peoples hair you can directly print the hair style you wanted,application,printing;printer
39,education tool,students can choose the material property they want and try to print out something and do some experiment with that,application,printing;printer
40,3d printing tissue for animal ,some animals lose some part of their body for example hunters take the tooth from elephants 3d printing tissue can help those animals back to their normal lifes ,application,printing;printer
41,3d printing jewelry,jewelry usually comes with complex process 3d printing can help to minimize this process,application,printing;printer
42,structurally strong material,pla that is mixed with carbon nano particles to give it mechanical properties such as more durability,material,printing;printer
43,magnetic material,pla that is mixed with iron particles to give it magnetic properties ,material,printing;printer
44,conductive material,pla that is mixed with copper particles to give it conductive properties,material,printing;printer
45,chocolate 3d printer,a 3d printer used to print chocolate used for creating your own chocolate gift,material,printing;printer
46,mixture of wax and abs,a 3d printing material made from abs and wax combing the advantages of the two materials,material,printing;printer
47,recyclable material,even if the material has particles we can recycle it with some method,material,printing;printer
48,3d colouring,create an extra nozzle in addition to the current one used to coloring the object during printing process,function,printing;printer
49,adjustable extruding nozzle,a controllable extruding nozzle size can help reduce the risk of material clogging,function,printing;printer
50,thermal expansion estimating algorithm,an algorithm used to predict the 3d printed object size based on monitored temperature and printing data,function,printing;printer
51,multiple automatic switching nozzles,multiple nozzles enable 3d printing different materials on a single job thus better meets the customer needs,function,printing;printer
52,visualize printed object analysis,help user visualize the full structure  property analysis after printing,function,printing;printer
