index,Concept Name,Concpet Description,Human Label,Machine Label
1,wireless transmission,gas sensor can send the data gathered to computer through wireless transmission,special features,sensor;gas
2,open door control,the gas sensor can control the door to close automatically,special features,sensor;gas
3,extractor hood sensor,the sensor mounted under extractor monitor gas,special features,sensor;gas
4,teeth sensor,mounted in the teeth sense the gas exhausted,special features,sensor;gas
5,table lamp gas sensor,this sensor is installed in a table lamp the result will be displayed on the screen of it,auto-multifunction,sensor;gas
6,individual equipment ,a independent powered sensor,independent device,sensor;air
7,healthy lung,a device with oxygen and carbon dioxide sensor that as as a lung function checker ,independent device,sensor;air
8,mini gas sensor,a gas sensor at a size like remoter the gas inlet is at the top the device has its own display to show the result,independent device,sensor;air
9,detect origin ,a sensor can detect what is the origin,independent device,sensor;air
10,window shade gas sensor,the sensor was designed onto the window shade it can detect whether the window is open or not if it is not opened for a while it can detect the air condition and alarm if it is not good,independent device,sensor;air
11,built into an air purifier,the sensor is built into an air purifier moniter the inlet and outlet air condition and start and stop working automaticly,independent device,sensor;air
12,on door gas sensor,the sensor can monitor the air condition on both side of the door and provide best air quality improve advise,smart device interative/special features,sensor;air
13,mobile gas sensor with  srceen,a mobile gas sensor with screen compatible to mobile devices,smart device interactive,sensor;gas
14,mbile gas sensir,plug into the headphone jack ,smart device interactive,sensor;gas
15,mask with gas sensor,the sensor is put into a msak,smart device interactive,sensor;gas
16,computer attraching gas sensor,attach the sensor to pc,smart device interactive,sensor;gas
17,usb gas sensor,this is a sensor build with a usb connceter once it plug into a computer it can sense and tranfer data to computer,smart device interactive,sensor;gas
18,perfume storage assistant,a ringshape gas sensor attaching at the perfume cap to avoid perfume leaking,smart device interactive,sensor;gas
19,projection,project the result to the wall,special features,projection
20,sefl moving,move automactically to detect toxic gas,special features,gas;sensor
21,miicrophone,it can alarm residents when there toxic gas makes people in danger,special features,gas;sensor
22,all round type gas flow channel,enable gas sensor to detect gas from all direction,special features,gas;sensor
23,protection suit,install gas sensor to protection suit then it can detect toxic gas and report it to those working in dangerous consitions,special features,gas;sensor
24,health monitor,gather and analyze the gas expirated out from human beings to report their health condition,special features,gas;sensor
25,clean refrigerator,a device that can sensor the gas from putrefaction to tell whether the food goes bad inside the regrigerator,auto-multifunction,sensor;gas
26,toliet cleaner,a gas sensor that can help monitor the cleanness of the toliet and then control the toilet to wash it,auto-multifunction,sensor;gas
27,clean sink disposal ,a device that control a wash flow to keep the sink disposal clean by gas sensor detecting technology,auto-multifunction,sensor;gas
28,smoke detection,for people who smoke detect the harmful level,independent device,air;detection
29,iwatch embedded,embedded in iwatch uses during working out,clock&watch,iwatch embedded
30,mini size,mini size give chance to be mounted and embedded,special features,phone;mini
31,cell phone embedded,can be embedded in cell phone,special features,phone;mini
32,medical use gas sensor ,patients will exhale through the funnel the sensor will detect the percentage of co2 and o2 use standard disposable funnel,independent device,gas;sensor
33,air meter,a device that can use gas sensors to evaluate the concentration of certain type of gas in the air and store the data over time,independent device,gas;sensor
34,movable voc checker,a device that can move around the house to detect voc gas and send alerts,independent device,gas;sensor
35,pipe shape gas sensor,fashionable shape can attract many midage people it can detect the conponents when people inhale and exhale,independent device,gas;sensor
36,clean trash can,a gas sensor attaching to the trash can to detect the putrefaction ,independent device,gas;sensor
37,manual power generatot,when you need to use it press generator to make it work,special features,manual power generatot
38,wall clock sensor,mounted in wall clock,clock&watch,sensor;air
39,mini sensor station,it is desinged for put at one place and monitor the air quality in the room,clock&watch,sensor;air
40,friendly ui,the sensor comes with a userfriendly app,special features,sensor;air
41,filter,eliminate the interference of humidity,special features,sensor;air
42,air quality data net,install gas sensor to the whole city and gather data,special features,sensor;air
43,ring sensor,shaped as a ring,special features,sensor;air
44,carpet sensor,sense the harmful things in carpet,special features,sensor;air
45,bath room sensor,sense the harmful things in bathroom,special features,sensor;air
46,furniture sensor,sense the harmful things in funiture,special features,sensor;air
47,drone gas sensor,the gas sensor is mounted onto a small drone that can fly around and monitor air quality indoor,special features,sensor;air
48,dog neck band,the gas sensor can be designed into a dog neck bend and monitor the air quality wherever the dog goes,special features,sensor;air
49,smart humidifier,a humidifier that is controlled by the gas sensor to adjust the working level,auto-multifunction,gas;sensor
50,leaking preventing,a device that utilizes gas sensors to detect leaking from pipes like nature gas in kitcken and shut down the gas if needed,auto-multifunction,gas;sensor
51,fresh air,an air puifier that is controlled by the gas sensors to maintain a good level of air quaility,auto-multifunction,gas;sensor
52,customized modular computer attaching sensor,look like a usb functions can be customized by adding different gas detecting modulars,smart device interactive,sensor;gas
53,built in sensor,mems gas sensor is planted into the smartphone all function will be connected to the phone,smart device interactive,sensor;gas
54,key chain wireless,a small sensor will be design and pacakged using its own buildin battery using wireless system to connect with smartphone,smart device interactive,sensor;gas
55,air outlet mount sensor,can be mount on all types of air outlets using its own battery power,smart device interactive,sensor;gas
56,implantable gas sensor,this gas sensor can be implanted on the skin of people,smart device interactive,sensor;gas
57,earring gsa sensor,this gas sensor can be use as decoration earrings connect to smart appliances through bluetooth,smart device interactive,sensor;gas
58,gas sensor in shirt,this sensor is attached to a short to detect gases it can also be regarded as a decoration,smart device interactive,sensor;gas
59,gas sensor in pants,the sensor can be attached to pants to detect gases,smart device interactive,sensor;gas
60,gas sensor in smart glasses,the gas sensor is attached to a pair of smart glasses the data can be projected to the glasses ,smart device interactive,sensor;gas
61,sheet gas sensor,the sensor is a thing sheet and can be attached on whatever you want apply wireless charging,smart device interactive,sensor;gas
62,tv gas sensor,the sensor can be designed into smart tvs and show data on tv directly,smart device interactive,sensor;gas
63,fresh meeting room,a device that control the havc of the meeting room according to the meeting people and schedule ,auto-multifunction,fresh meeting room
