index,Concept Name,Concpet Description,Human Label,Machine Label
1,ar boundary box,car windows augment a boundary box over each carpedestrian that the car sees when it sees it,visiblity,car;passenger
2,human machine interaction (hmi) via ambient lighting,the av interacts with the passenger inside using ambient light strips located at strategically noticeable locations across the interior of the car light signals of various color tones can be used to alert the driver regain drivers attention to some issue or on to the traffic to warn driver of bad driving etc further the lights can influence the mood and behavior of passenger a soothing color tone for passenger who is returning home from office sleepy and dreamy light patterns for longdrives when the av is in selfdrive mode to put the passengers to sleeprest quickly,handing-over of control,car;cameras
3,hmi via acoustics,the av interacts with the driver through channelized mild sounds via tweeter from the 4 corners of the interior the sound is fired based on the direction which needs driver•Às attention so that the driver does not have to ponder on figuring out the problem audio feedback helps when the driver is asleep or is not looking at the right direction,handing-over of control,car;cameras
4,cars attached to buses,cars can connect to buses for partof the local route and then detach at acertain stop,smart mobility,buses;vehicles
5,comparitive driving,screen that shows how car is driving compared to a virtual version of how user would drive,awareness of av tech,car;passenger
6,crash fail safe,in case of unavoidable crash situation the cockpit or passenger compartment gets secured inside a capsule encased with cushions and airbags to minimize impact irrespective of the seating position and orientation on the passenger,safety; functionality,car;passenger
7,seats for fidgeting,redesigning shape of seats to adjustto body posture using memory foamor similar technology,internal comfortability,
8,driver eye tracking & condition monitoring,eyetracking and depthsensing cameras on the dash and the roof continuously monitor the driver attention and condition by obtaining imaging details through computer vision this is information is then used to alert the driver if his attention is wavering wakeup if heshe has fallen asleep help driver notice an unprecedented incident like a vehicle approaching suddenly out of a corner or warn the driver if he failed to notice all details before taking an actionmaneuver,driver condition & hand-over of control,car;cameras
9,hmi via vibration feedback,the av interacts with the driver using vibration on important and sensitive contact surfaces like steering wheel seats pedals footrest armrest etc it can get immediate attentionreaction from the driver and aid him regain attention on the issue,handing-over of control,seats;driver
10,smart charging,a feature on your car that can predict when you will need to charge your ev and will automatically drive you to the nearest ev station at that time,mobility and route,car;passenger
11,mobile work space,desk platform and keyboard that pop out of center module when av mode is activated,productivity and functionality,mode;dashboard
12,morphing av,avs interior completely made of smart fabric where in selfdrive mode the entire dash and other accessories simply collapse inwards and foldup to maximize roomspace for the passenger,productivity and functionality,mode;dashboard
13,imax car,car that provides an immersive vrimax movie experience using windshield and windows to create a 360deg surround screen when in selfdriver  mode,productivity and functionality,mode;dashboard
