index,Concept Name,Concpet Description,Human Label,Machine Label
1,progress monitor,shows the user how their performance has changed over time based on their workout history,how fit am i ,workout;user
2,voice control ,the machine can connect to amazon echo siri or any similar product and allow the users to use their voice to control the machine,hey siri ,users;machine
3,smart exercise service ,a series of exercise machines including both cardio and weight training machines are connected together the system will create the workout plan based on users goal it allows users to use different machines to optimize the workout and collects data from all machines and finally it will provide a conprehensive analysis to the users ,business spinoff,users;access
4,biking tour with friends,using vr or ar technique to simulate a biking tour and put friends in the same virtual world allowing them to ride together and chat ,arcade mode,biking;bike
5,smartphone connection ,unique users are identified by connecting with the users smartphone,check out my ride,smartphone connection 
6,fingerprint reader,unique users are identified by their unique fingerprint,check out my ride,smartphone connection 
7,cupholder,lets user put their water bottle within reach,but wait there's more ,cupholder
8,game mode,allows the user to play an interactive game which requires them to exercise,arcade mode,users;user
9,tv mode,lets user catch up on their favorite tv show while working out and picks a workout with the right length,check out my ride,workout;user
10,butler in a bike ,allow the user to answer the door or phone during the workout on the bike without interuptting the workout ,check out my ride,workout;user
11,moving hands,lets user keep their arms moving for maximum cardio output during a workout,check out my ride,workout;user
12,real feel,the whole bike moves to mimic cycling over uneven surfaces in real life,but wait there's more ,bike;videos
13,ride for rewards,users get simple rewards for sticking to the optimal workout plan ,business spinoff,workout;user
14,workout consultant,communicate and share the data with a personal trainer through the system to get more advices on their workout,business spinoff,workout;user
15,snack bar,have an energy bar dispenser ,but wait there's more ,snack;towels
16,towel hanger,have a desinated place to hold towels ,but wait there's more ,snack;towels
17,personal reminder,a user might forget what he was going to do after the workout because hes tired user can set a reminder before the workout and the machine will remind the user after the workout,hey siri ,workout;user
18,encourgement eve,an encourgement from the inbuilt personal trainer eve once a user reaches a mini milestone or completes a workout ,hey siri ,workout;user
19,weigh for me,the machine finds out directly how heavy is ther user so he or she doesnt have to do it while keying in the personal information,check out my ride,machine;user
20,shared bike machine,bike machine rooms located at convenient places allow users to use it and pay per use all machine will be connected and upload users data to the cloud server so that users are able to be access to their own data easily ,business spinoff,users;machine
21,bike park,have the exercise machine go around the gym on a set race track depending on speed of the user race with other users,business spinoff,users;machine
22,p.o.d bike,bike machine combined with panoramic optical display to give users a immersive experience in exercising while playing,arcade mode,bike;machine
23,arcade bike,users can ride the bike like playing a arcade machine and compete with each other,arcade mode,bike;machine
24,challenging mode,the bike machine works like bikes in real life and in this mode the machine will simulate a real life cycling experience including cornering and straight line racing and let the users set their own records and challenge others ,arcade mode,bike;machine
25,move with the beat,include music of the similiar speed in the optimal workout change music from users folder in different stages of the workout,personal trainer,workout;user
26,workout selection,allows user to choose a personalized workout based off of goals,personal trainer,workout;user
27,workout statistics,shows the user their status midworkout,how fit am i ,workout;eg
28,workout feedback,,how fit am i ,workout;eg
29,show me food!,at the end of the workout show the calories equivalent of the current workout in terms of food eg a pint of icecream ,how fit am i ,workout;eg
30,sounds,mimics real life noise rather than music,but wait there's more ,sounds
31,entertainment list,the machine provide a list of entertainment like music movie tv show and game it can also allow users to install app like netflix hulu to get access to their own subscription ,check out my ride,users;access
