index,Concept Name,Concpet Description,Human Label,Machine Label
1,solar satelites,solar built satelite that revolves the earth,Large System,earth;solar
2,solar indicator,a complimentary indicator of how much electricity of one house has generated and how much money has been saved all neighbors can see the numbers,Residential Solar,electricity;water
3,solar eelectric vehicle charging station,allow ev to be charged with solar energy the station will store energy when its not being used the grid will be used at night,Charging Station,wireless;vehicle
4,flexible solar,flexible solar panels,Portable Appliances,earth;solar
5,sunflower solar,like a sunflower the solar panel will follw the sun,Residential Solar,solar
6,solar guard,a thin film that is transparent and dustdirt resistent it is applied to the panel so that dirt accumulation is not an issue,Maintenance,panel;battery
7,solar umbrella,generate electricity from pvs on the umbrella,Portable Appliances,electricity;water
8,rotating solar shade,to add a rotational function to the existing pv panels for parking lots it will provide shade and optimize the efficiency at the same time,Charging Station,panels;power
9,solar rewards,set up a public energy data sharing platform people will be free to join and record their power generated by solar the first thousand in a city with the most solar power will be rewarded with money,Large System,sun;solar
10,moving solar,group of truck solar panels moving with the sun,Large System,sun;solar
11,never dirty solar panels,dirt is a big issue for solar company that affect the efficiency the panels,Maintenance,panels;power
12,solar mat,roll out solar panel that rolls into the size of a water bottle has wireless charging area rolls around the battery,portable Appliances,panel;battery
13,moon solar,moon rotates faster and will have more chance of getting exposed to the sun to generate more power,Large System,sun;moon
14,amplity +,additional miooros mounted on solar panels to amplify solar strength,Residential Solar,panels;power
15,revolving solar,rotating solar panels aroung buildings,Residential Solar,panels;power
16,eco porch,porch that has solar panels as the floor this will help to power deviceswithin the home,Residential Solar,panels;power
17,soalr picking,people who work under the sun for a solar hat clothes,Portable Appliances,sun;moon
18,solar band,solar version of fibit track how much sun you get,Portable Appliances,sun;moon
19,solar irrigation system,power the pumps that are used to transport water with solar energy,Hybrid Application,electricity;water
20,solar electric water filter system,a electric water filter system that is powered by solar suitable for underprevilaged area where clean water and electricity are scarce,Hybrid Application,electricity;water
21,harvesting solar,harvesting the waste heat trapped between solar panels and roof,Hybrid Application,panels;power
22,solar cover,covering sheet with flexible solar panels in order to cover anything outdoor like a car motorcycle etc while it is covering up outside it will produce solar power,Hybrid Application,panels;power
23,solar money pot,set up a small solar panel system outdoor with a screen showing how much money it has been generating continuously after a year the number may be so impressive that someone will start considering going solar,Large System,panel;battery
24,solar stand,ajustable solar panel mount designed for a range of roof typesto ease installation,Residential Solar,panel;battery
25,solar window,solar panel window that are transparent,Residential Solar,panel;battery
26,solar shade,sliding solar panel that acts as blinds for open windows when needed,Residential Solar,panel;battery
27,eco shade,solar panel shade cover for cafes and resturants patrons would charge their phones while eating with green energy,Residential Solar,panel;battery
28,solar business card,a electronic business card with dynamic figures on it powered by solar,Portable Appliances,sun;solar
29,sun caf_,small outdoor coffee shop that maximizes solar panels in the storeeg thin film solar umbrellas store sign says pollution reduction amounts,Portable Appliances,sun;solar
30,soalr gate,many gates of communities are run by electricity it would save much electricity and wiring efforts if they can be powered by solar,Portable Appliances,sun;solar
31,solar clock,a regulat electronic clock that can be setup outdoor with exposure of the sun for example it can be installed on top of the basketball board that has good reception of sunshine and players can benefit from it,Portable Appliances,sun;solar
32,solar food warmer,food carriers that heat or kepp ware the food while exposed the sun,Portable Appliances,sun;solar
33,solar charging station,works as a sunshade and charging station for small applicances together with long desk for people to work on ,Charging Station,station;subscription
34,eco boost,charging station for cell phones that uses solar energy could work through a subscription on min charging model,Charging Station,station;subscription
35,solar road,roads could be replaced with solar panel roads which can produce energy with the sun if solar roof from tesla is strong enough for the roof something close enough could replace the road,Big System,sun;solar
36,eco art,small solar panels fashion accessory that has bluetooth to link energy produced to phone transfers power to phone wirelessly,Portable Appliances,panels;power
37,solar shdes(sun glasses),solar panels over gloves to protect eyes battery  bluetooth in eyeglass frames camera,Portable Appliances,panels;power
38,solar tent,a campingor militaryuse tent that has power outlet from solar panels are built on the outseide of the tent to provide electricity,Portable Appliances,panels;power
39,power mat,solar panel  battery panel has a material that allows it to stick on windows without falling off sends power to phone app,Charging Station,panel;battery
40,solar bench,solar panel on a table that has an embedded battery wireless charging pad on the end of the tabledisplay the remaining energy,Charging Station,panel;battery
41,auto rotating solar panels,for panels on flat rooftops they can be installed on rotating plates which follow the sun the rotation will be adjusted for different seasons,Residential Solar,sun;solar
42,solar time,a device that reminds you when to put your portable solar charger out in the sun eg on your windowshade device is connected to the internet to determine sunlight times,Residential Solar,sun;solar
43,self charging car battery,cars batteries often die if the engine hasnt been turned on for a long time solarcharging batteries will prevent this issue for cars that park outdoor,Portable Appliances,wireless;vehicle
44,eco pack,foldable solar array mounted to a portable energy pack that can be folded out when storing energy,Portable Appliances,wireless;vehicle
45,mountable solar pads,make any objects that contantly expose under sunshine portable charging stations,Portable Appliances,wireless;vehicle
46,solar headphone,wireless headphones that can be charged when exposed to sunshine,Portable Appliances,wireless;vehicle
47,autoclean,water nozzles are installed at the top of the pvs spray water and clean the pv water can be sprayed remotely,Maintenance,electricity;water
48,solar mug,small thin film solar panel  battery were desigend on a mug cup has bluetooth capability that records energy storage,Portable Appliances,panel;battery
49,sunbook,front cover of notebook has a foldout solar panel within battery bluetooth will send written text to a digital appt reach solar kwh,Portable Appliances,panel;battery
50,solar candle,candle holder that is covered by a flexible thin film solar panel with a battery at the base of the holder trapped heat will also melt candlewithout use of a flame ,Portable Appliances,panel;battery
51,solar samsung monitor,an app that tells you howwhat the sun exposure is for different location and how much electricity can be generated,Software,sun;solar
52,iot soalr,small solar for internet of things,Large System,solar
53,total green,manufacturing process where solar pvs are manufactured using green energy and recycled completely after their life span,Large System,electricity;water
