index,Concept Name,Concpet Description,Human Label,Machine Label
1,clean wrao gloves,glove has a pocket to store plastic glove wrap to use for sterile purposes,there's an app for that,gloves;glove
2,gecko hands,these hands follows the patterns of an anphibian above all these hands have a focus to grip and holding items,material,hands;sensors
3,massage gloves 2.0,massage with some important acupuncture point in traditional chinese medicine,enhance comfort,gloves;mars
4,mother gloves,these gloves help to detect your stress level they talk to you for emotional support,enhance comfort,gloves;mars
5,caffeine gloves,these gloves are intended to give you the life of caffeinin during long work hours,enhance comfort,gloves;mars
6,radio gloves,the feature of these gloves include a wrist watch that helps control the music you listen to in space,enhance comfort,gloves;mars
7,air brush,pressurised air can be released to help clean dust off stoff,clean things,fingers;gloves
8,capped fingers,padded cap that can removed from finger tips to allow for typing,touch,fingers;gloves
9,layered glove,glove is layered with a thin bladder protective layer pressurized layer each layer is removable,got it?,glove;heater
10,frog hands,borows many concepts from frog hands the stretchability of the flaps between the fingers enable more use for the hands also the user should be more easily able to put on gloves and take them off ,material,fingers;gloves
11,good dexterity gloves with wrist bearings,wrist bearing in the gloves provide a high confidence level in the successful implementaion of the designs the bearing meet the required high limets with margin to spare while presenting a smooth profile on their inner surface,lock n load,gloves;mars
12,pressure controlled gloves,gloves in mars suit should protect astronauts hand in entertainment with an accurate pressure gloves would contact with torso and keep same pressure as torso,would you look at that,gloves;mars
13,gripping gloves,glove had hookes that can grab into walls to help rock climbing,casin things,gloves;glove
14,pulse detection,glove can sense users pulse and can be used to check another persons pulse,can you feel it?,glove;heater
15,temperature controlled gloves,gloves in mars suit should protect astronauts hand in entertainment with an accurate temperature temperature can be controlled by special materials or special temperature regulations,hot stuff,gloves;mars
16,flashlight,flashlight on glove lets you see waht youre working on,there's an app for that,fingers;gloves
17,touch screen fingers,the fingers of the gloves can use touch screens,better than the iphone,fingers;gloves
18,button on gloves,buttons and grab items like rows ,internet with controls,gloves;mars
19,button gloves,magnetic suspension control get your personal item in a short distance,internet with controls,gloves;mars
20,writing gloves,write and draw with your gloves sensor embeded and connect information into computer,internet with controls,gloves;mars
21,wii gloves,special motions activate things,internet with controls,gloves;mars
22,rogue hands,reinforced composite layers use of fiber materials to help with use cases integrated battery for longer use ,iron man glove,hands;sensors
23,thermal sensing glove,basic glove race car drivers with thermal sensors on palm and fingers,sensor,glove;sensors
24,wrist lock,air tight lock between glove and sleeve of suit,lock n load,glove;sensors
25,projecter glove,gloves project images or information,intersurfaces,gloves;glove
26,force sensors gloves,crew members interact with computer system using gesture and voice control the user wear a glove with sensor which allows them to control an application running on a linked computer,can you feel it?,glove;sensors
27,thermal control,the inside of the glove is thermally controlled maybe with a thin film of water ,hot stuff,thermal control
28,grip assist,mechatronic fingers go around your fingers to aid in gripping,iron man glove,fingers;gloves
29,feeler gloves,gloves have sensors on finger tips to enhance user feel of objects,sensor,gloves;mars
30,lobster gloves,claw like extension for the hand that has auto rotate feature on it this way user doesnt have to touch anything claw feature is good for grip ,got it?,fingers;gloves
31,sticky grip,palms and fingers of gloved are lined with a grippy surface to make grabbing things easier,got it?,fingers;gloves
32,bullet gloves,just like a gun,safety,gloves;mars
33,air bag,gloves inflates during a fall to prevent wrist spoail,safety,gloves;mars
34,water gloves,for playing in the beach control the water outlet,safety,gloves;mars
35,rover gloves,the gloves as remote controller or your rover that way you never lose your vehiclelike a tesla car key,safety,gloves;mars
36,sos gloves,in the terrible case you get stranded the gloves emit radio frequencies for home base,safety,gloves;mars
37,heater,the outside of the glove has a heater to warm up other things astronaut could melt ice buildup or warm a sample,there's an app for that,glove;heater
38,mechatronic glove,mechatronic device can snap on to a  users glove when needed,there's an app for that,glove;heater
39,clip gloves,gloves has caribeerer clips to let you grab things without risk of dropping them,casin things,gloves;mars
40,soud paper gloves,end paper is attached to side of gloves to clean things,casin things,gloves;mars
41,net disperse,gloves has a net that can be shot out of it to a specific items,casin things,gloves;mars
42,hook gloves,gloves has attreactable hook to dig into hooks a drey items,casin things,gloves;mars
43,muynetic gloves,gloves has muyncliss built into help every large objectives,casin things,gloves;mars
44,feedback gloves,these gloves warn you immedietly when there is an issue with your gloves or with your spacesuit,casin things,gloves;mars
45,tool storage gloves,these gloves hold your tools,casin things,gloves;mars
46,name engraved gloves,physical application that lets others know which gloves are yours,casin things,gloves;mars
47,fish bowl hands,these hands are fully fully exempt from the outside environmnet sensors on the hand copy the signal over to a ste of robotic actuatorsoutside of the hands ,would you look at that,hands;sensors
48,glove variety,each glove should be custom made to fit a users specific need for instance and analytic would have thinner gloves than a geologist,grip,gloves;glove
49,high temperature resistance of gloves,gloves work in mars hence it may withsatnd different temperature our gloves should work well in high temperature even exposed directly to the sun,material,gloves;mars
50,good breathability of gloves,when hands put in gloves in a long time inaccurate humidity might make hand in some diseases due of bad breathability of hand so keep hand in a good comfortability is important,material,gloves;mars
51,radiation protecting gloves,mars contains lots of uncertain radiations our gloves can protect astranauts hand from radiation when they conduct scientic research,material,gloves;mars
52,charger,glove is capable of charging things wirelessly,there's an app for that,thermal control
53,waste heat energy,waste heat from snit assd to generate a turbine,energy basic,waste heat energy
54,clean your hand gloves,clean your hand in the gloves by high frequency vibrating and beauty product,clean things,gloves;mars
