index,Concept Name,Concpet Description,Human Label,Machine Label
1,crash fail safe,in case of unavoidable crash situation the cockpit or passenger compartment gets secured inside a capsule encased with cushions and airbags to minimize impact irrespective of the seating position and orientation on the passenger,safety; functionality,
2,kitchen car,mode in your car that allows the user to start cooking on the commute home from work,productivity and functionality,mode;car
3,chore car,mode in your car that allows it to go run errands for you during the work day including grocery shopping dry cleaning etc,productivity and functionality,mode;car
4,"ufo looking car",a car designed to look like an ufo to keep pedestrians engaged and to not let them lose attention also communicates safety as people do not see wheels,aesthetics,
5,hmi via vibration feedback,the av interacts with the driver using vibration on important and sensitive contact surfaces like steering wheel seats pedals footrest armrest etc it can get immediate attentionreaction from the driver and aid him regain attention on the issue,handing-over of control,
6,"inverted intersection",there is no need to cross the street because intersections are above the ground bridges and people can walk without interuptions,redesigning infrastructure,
7,puppy car,a car that goes with puppies inside good for mental wellness and hapiness,internal experience,car;service
8,the screen,an interactive screentablet in front of a passenger showing what a car is seeing and what decisions it is going to make,visibility and safety,car;passenger
9,split av,av is made of smaller independent units that split or recombine based on number of passengers or space requirements thus saving energy,smart mobility,
10,humanized simplistic interface,a simplistic dashboard that takes up minimal roomspace and is highly intuitive with its display and functions the steering wheel tucks inside the dash when in selfdrive mode and retracts out when driverattention is required and when handover of control is going to begin an interactive display shows all data the passengers want to see on what the av is seeing sensing calculating and how its making decisions further every decision the av makes on selfdrive mode is displayed on the screen which can be manually overridden at any time,mobility & driver condition,
11,peer attach av,when you meet friends on the road or any office colleague with whom you want to spend time together while still travelling inside different avs the two vehicles combine into one unit onroad and detatch when required,productivity and functionality,
12,soft car,a car made from a very soft material that gets more damaged than a human in accident basically a human can get the car hurt with a hit,pedestrian communication,
13,comparitive driving,screen that shows how car is driving compared to a virtual version of how user would drive,awareness of av tech,car;passenger
14,mobile work space,desk platform and keyboard that pop out of center module when av mode is activated,productivity and functionality,
15,"i see you",a digital panel instead of windshiled that shows current car speed and its dynamics eg 25mpg slowing down,pedestrian communication,
16,cars attached to buses,cars can connect to buses for partof the local route and then detach at acertain stop,smart mobility,
17,vr headset,vrheadset for a passenger allowing to see through the cars eyes,visibility and safety,headset;vr
18,zen car,sensory blackout inside car to allow for peaceful meditation and relaxation,productivity and functionality,car;workout
19,gym car,inside of car transforms to allow for convenient ab workout space,productivity and functionality,car;workout
20,interactive gps interface,part of dashboard dedicated to interactive 3d gps tracking the realtime optimal route,mobility and route,
